function,strategy,dim,seed,fx
sphere,ArithmeticMeanCenterStrategy,2,42,7.815731088737118e-24
sphere,ArithmeticMeanCenterStrategy,2,123,5.038812975833181e-24
sphere,ArithmeticMeanCenterStrategy,2,7,3.026730420007992e-24
sphere,ArithmeticMeanCenterStrategy,2,2024,1.062843663691018e-24
sphere,ArithmeticMeanCenterStrategy,2,999,1.4597519166672207e-24
sphere,ArithmeticMeanCenterStrategy,2,1,2.686572069164531e-24
sphere,ArithmeticMeanCenterStrategy,2,314,2.5074133980035646e-25
sphere,ArithmeticMeanCenterStrategy,2,2718,1.75494758394615e-24
sphere,ArithmeticMeanCenterStrategy,2,2023,1.4773735302484339e-24
sphere,ArithmeticMeanCenterStrategy,2,86,2.6370279007694545e-24
sphere,ArithmeticMeanCenterStrategy,2,1000,5.569440558173439e-26
sphere,ArithmeticMeanCenterStrategy,2,2000,3.6816473554225624e-25
sphere,ArithmeticMeanCenterStrategy,2,1232,3.859564831303584e-24
sphere,ArithmeticMeanCenterStrategy,2,10023,1.0954051954994519e-24
sphere,ArithmeticMeanCenterStrategy,2,12,1.1942135142344525e-25
sphere,ArithmeticMeanCenterStrategy,2,675,3.910275483126848e-24
sphere,ArithmeticMeanCenterStrategy,2,55,6.0955010364273656e-24
sphere,ArithmeticMeanCenterStrategy,2,43,7.149789128676583e-25
sphere,ArithmeticMeanCenterStrategy,2,34534,3.543900267689879e-26
sphere,ArithmeticMeanCenterStrategy,2,22222,2.685193906682615e-24
sphere,MedianCenterStrategy,2,42,3.1316014532422e-23
sphere,MedianCenterStrategy,2,123,8.108604493763521e-24
sphere,MedianCenterStrategy,2,7,2.2781956329240765e-24
sphere,MedianCenterStrategy,2,2024,8.742822284089965e-25
sphere,MedianCenterStrategy,2,999,2.9318146359581884e-24
sphere,MedianCenterStrategy,2,1,1.802165151531003e-24
sphere,MedianCenterStrategy,2,314,4.755250167984951e-25
sphere,MedianCenterStrategy,2,2718,2.719071035898666e-25
sphere,MedianCenterStrategy,2,2023,1.1248279318707335e-23
sphere,MedianCenterStrategy,2,86,5.979306621953181e-24
sphere,MedianCenterStrategy,2,1000,1.7969473744636634e-25
sphere,MedianCenterStrategy,2,2000,1.0410793729104002e-24
sphere,MedianCenterStrategy,2,1232,9.226643101957349e-24
sphere,MedianCenterStrategy,2,10023,1.4444764766186354e-24
sphere,MedianCenterStrategy,2,12,1.7051286493653037e-24
sphere,MedianCenterStrategy,2,675,8.750798920781245e-24
sphere,MedianCenterStrategy,2,55,1.5976003748304535e-23
sphere,MedianCenterStrategy,2,43,3.5661797389829015e-24
sphere,MedianCenterStrategy,2,34534,6.003897580891285e-25
sphere,MedianCenterStrategy,2,22222,8.473628188390614e-24
sphere,WeightedFitnessCenterStrategy,2,42,1.0039411379672792e-23
sphere,WeightedFitnessCenterStrategy,2,123,3.850355340448031e-24
sphere,WeightedFitnessCenterStrategy,2,7,2.90424928887062e-24
sphere,WeightedFitnessCenterStrategy,2,2024,1.0374213732054365e-25
sphere,WeightedFitnessCenterStrategy,2,999,9.226225141119089e-25
sphere,WeightedFitnessCenterStrategy,2,1,8.069760154025354e-25
sphere,WeightedFitnessCenterStrategy,2,314,5.598198619949874e-25
