iteration,fx
0,2.934780784024775
1,0.007789396506657023
2,1.1465593930235803e-05
3,8.325467469608802e-09
4,3.478243085960185e-12
5,1.0452048807375421e-14
6,1.0450981293993197e-16
7,4.676658278793555e-17
8,3.223227976627558e-17
9,2.507037956131463e-17
10,1.1774463915051036e-17
11,5.0844547515678544e-18
12,2.796302549636511e-18
13,3.2929654965689235e-18
14,6.116918834882211e-19
15,7.10843841133334e-19
16,6.999061700410137e-19
17,2.968874901582903e-19
18,1.2246224443294177e-19
19,1.4440663516319897e-19
20,7.063551060509828e-20
