iteration,fx
0,0.04178667101279473
1,2.4772126700436946e-12
2,3.681840396370495e-18
3,8.696531613020731e-25
4,3.2600105424101205e-24
5,4.192846222539497e-24
6,5.652089618944042e-25
7,1.5909744331319842e-24
8,9.477643669046536e-24
9,4.197332767973414e-24
10,1.6472937495754618e-23
11,9.132962129441224e-24
12,1.6833246299795472e-24
13,9.2609504368029e-25
14,1.130701798346985e-24
15,3.0553352820168294e-24
16,5.3356808609593224e-24
17,6.0410103611661644e-24
18,7.20161773928954e-25
19,8.103510337357476e-25
20,1.2849480919200517e-24
