iteration,fx
0,0.11746404891532299
1,1.8356011194729426e-15
2,4.816301471066706e-25
3,1.4768405430083126e-24
4,6.694708086432949e-24
5,3.691872693477034e-24
6,4.808076885980971e-24
7,3.445780103203424e-24
8,1.911923601125844e-24
9,1.4490858230388342e-24
10,5.136144800494817e-25
11,1.468755496652414e-24
12,7.447395446038625e-24
13,5.2231223242653786e-24
14,2.303412930484902e-24
15,8.722328627710382e-25
16,1.1265681578866683e-24
17,1.3839329099246663e-24
18,1.563167780301291e-24
19,5.167998649273201e-24
20,2.1943685061165303e-24
