iteration,fx
0,0.46731967108648104
1,7.41834057561385e-11
2,3.6516677577394245e-18
3,9.193668680903651e-23
4,8.707049606182984e-23
5,1.9518541114993343e-23
6,4.19784482363596e-24
7,2.34434069864166e-23
8,2.333244312002301e-23
9,2.0332176312062206e-23
10,5.776168602369528e-23
11,2.428270859669757e-23
12,4.461932521648356e-23
13,2.1390158514383982e-23
14,3.729603697433155e-23
15,2.850889688699133e-23
16,2.5931509699148854e-23
17,1.5275630208772727e-23
18,3.3774365447740926e-23
19,2.178678058180706e-23
20,3.271303989645618e-23
