iteration,fx
0,2.934780784024775
1,0.0017179596109447224
2,1.8871537429045446e-06
3,1.433385820139778e-09
4,1.967251446519954e-12
5,4.983325163494335e-16
6,7.789510745739728e-17
7,4.436381207259843e-17
8,2.247018629284069e-17
9,1.3323147299234348e-17
10,8.865239850394348e-18
11,4.330254022299591e-18
12,1.5751582871435035e-18
13,9.587168127800402e-19
14,1.0842864546600395e-18
15,4.621328713457612e-19
16,3.7342401460465067e-19
17,2.1552417802006658e-19
18,1.014224867327092e-19
19,4.798469162121559e-20
20,5.0004941660934097e-20
