function,strategy,seed,fx
sphere,ArithmeticMeanCenterStrategy,42,1.639011179687401e-23
sphere,ArithmeticMeanCenterStrategy,123,7.30328894674077e-24
sphere,ArithmeticMeanCenterStrategy,7,5.613975531915243e-24
sphere,ArithmeticMeanCenterStrategy,2024,6.630289367278408e-24
sphere,ArithmeticMeanCenterStrategy,999,9.902707474141406e-24
sphere,MedianCenterStrategy,42,5.642751729631288e-23
sphere,MedianCenterStrategy,123,8.068357361237044e-24
sphere,MedianCenterStrategy,7,1.9740644131520058e-23
sphere,MedianCenterStrategy,2024,1.0453672458441487e-23
sphere,MedianCenterStrategy,999,3.14916050687729e-23
sphere,WeightedFitnessCenterStrategy,42,1.7931632958664592e-23
sphere,WeightedFitnessCenterStrategy,123,9.2788733530867e-24
sphere,WeightedFitnessCenterStrategy,7,1.1665523568461635e-23
sphere,WeightedFitnessCenterStrategy,2024,1.7683995132772297e-24
sphere,WeightedFitnessCenterStrategy,999,1.0411996245633896e-23
sphere,WeightedRankCenterStrategy,42,2.8031764353828697e-23
sphere,WeightedRankCenterStrategy,123,6.421298213582737e-24
sphere,WeightedRankCenterStrategy,7,1.801813822934417e-23
sphere,WeightedRankCenterStrategy,2024,6.008994901871535e-24
sphere,WeightedRankCenterStrategy,999,3.079790846322857e-23
sphere,TrimmedMeanCenterStrategy,42,1.639011179687401e-23
sphere,TrimmedMeanCenterStrategy,123,7.30328894674077e-24
sphere,TrimmedMeanCenterStrategy,7,5.613975531915243e-24
sphere,TrimmedMeanCenterStrategy,2024,6.630289367278408e-24
sphere,TrimmedMeanCenterStrategy,999,9.902707474141406e-24
rastrigin,ArithmeticMeanCenterStrategy,42,0.9949590570932898
rastrigin,ArithmeticMeanCenterStrategy,123,0.0
rastrigin,ArithmeticMeanCenterStrategy,7,6.964708361833964
rastrigin,ArithmeticMeanCenterStrategy,2024,0.0
rastrigin,ArithmeticMeanCenterStrategy,999,3.9798362283731663
rastrigin,MedianCenterStrategy,42,5.969749304740674
rastrigin,MedianCenterStrategy,123,5.969749304740674
rastrigin,MedianCenterStrategy,7,0.0
rastrigin,MedianCenterStrategy,2024,5.969749304740667
rastrigin,MedianCenterStrategy,999,0.9949590570932898
rastrigin,WeightedFitnessCenterStrategy,42,0.0
rastrigin,WeightedFitnessCenterStrategy,123,0.9949590570932898
rastrigin,WeightedFitnessCenterStrategy,7,0.9949590570932898
rastrigin,WeightedFitnessCenterStrategy,2024,0.9949590570932898
rastrigin,WeightedFitnessCenterStrategy,999,2.9848771712798765
rastrigin,WeightedRankCenterStrategy,42,2.9848771712798765
rastrigin,WeightedRankCenterStrategy,123,1.9899181141865796
rastrigin,WeightedRankCenterStrategy,7,4.974790247647384
rastrigin,WeightedRankCenterStrategy,2024,2.9848771712798694
rastrigin,WeightedRankCenterStrategy,999,2.9848771712798765
rastrigin,TrimmedMeanCenterStrategy,42,0.9949590570932898
rastrigin,TrimmedMeanCenterStrategy,123,0.0
rastrigin,TrimmedMeanCenterStrategy,7,6.964708361833964
rastrigin,TrimmedMeanCenterStrategy,2024,0.0
rastrigin,TrimmedMeanCenterStrategy,999,3.9798362283731663
rosenbrock,ArithmeticMeanCenterStrategy,42,2.0746976842398394e-20
rosenbrock,ArithmeticMeanCenterStrategy,123,5.508207398956475e-21
rosenbrock,ArithmeticMeanCenterStrategy,7,2.1072419592593696e-20
rosenbrock,ArithmeticMeanCenterStrategy,2024,8.860989152301834e-21
rosenbrock,ArithmeticMeanCenterStrategy,999,1.145018113391161e-20
rosenbrock,MedianCenterStrategy,42,3.6669171890206235e-05
rosenbrock,MedianCenterStrategy,123,1.0101748535466733e-12
rosenbrock,MedianCenterStrategy,7,1.9406181482957858e-10
rosenbrock,MedianCenterStrategy,2024,3.735750645077185e-09
rosenbrock,MedianCenterStrategy,999,3.8586952730179144e-10
rosenbrock,WeightedFitnessCenterStrategy,42,1.2727107101146641e-20
rosenbrock,WeightedFitnessCenterStrategy,123,2.514928571409302e-21
rosenbrock,WeightedFitnessCenterStrategy,7,6.56875087420644e-21
rosenbrock,WeightedFitnessCenterStrategy,2024,6.079904965078616e-21
rosenbrock,WeightedFitnessCenterStrategy,999,1.3788873518886414e-20
rosenbrock,WeightedRankCenterStrategy,42,1.2755504695084212e-20
rosenbrock,WeightedRankCenterStrategy,123,4.7561139069927e-21
rosenbrock,WeightedRankCenterStrategy,7,8.387220141209092e-22
rosenbrock,WeightedRankCenterStrategy,2024,1.2060944744502024e-21
rosenbrock,WeightedRankCenterStrategy,999,6.265047435407877e-21
rosenbrock,TrimmedMeanCenterStrategy,42,2.0746976842398394e-20
rosenbrock,TrimmedMeanCenterStrategy,123,5.508207398956475e-21
rosenbrock,TrimmedMeanCenterStrategy,7,2.1072419592593696e-20
rosenbrock,TrimmedMeanCenterStrategy,2024,8.860989152301834e-21
rosenbrock,TrimmedMeanCenterStrategy,999,1.145018113391161e-20
ellipsoid,ArithmeticMeanCenterStrategy,42,1.207414946199266e-22
ellipsoid,ArithmeticMeanCenterStrategy,123,1.367967287989576e-23
ellipsoid,ArithmeticMeanCenterStrategy,7,6.033943570912908e-23
ellipsoid,ArithmeticMeanCenterStrategy,2024,2.695009801560152e-23
ellipsoid,ArithmeticMeanCenterStrategy,999,6.903900092268806e-23
ellipsoid,MedianCenterStrategy,42,5.591150746306404e-23
ellipsoid,MedianCenterStrategy,123,1.0440995048914213e-23
ellipsoid,MedianCenterStrategy,7,7.746884651744764e-23
ellipsoid,MedianCenterStrategy,2024,1.570974327207816e-22
ellipsoid,MedianCenterStrategy,999,1.2246670056716126e-22
ellipsoid,WeightedFitnessCenterStrategy,42,2.57663406815175e-22
ellipsoid,WeightedFitnessCenterStrategy,123,1.65590504526997e-23
ellipsoid,WeightedFitnessCenterStrategy,7,2.227295471435099e-23
ellipsoid,WeightedFitnessCenterStrategy,2024,6.027718788251289e-23
ellipsoid,WeightedFitnessCenterStrategy,999,1.240043955454316e-22
ellipsoid,WeightedRankCenterStrategy,42,1.2364706713813223e-22
ellipsoid,WeightedRankCenterStrategy,123,4.416634626980006e-23
ellipsoid,WeightedRankCenterStrategy,7,2.897434565915986e-23
ellipsoid,WeightedRankCenterStrategy,2024,4.6882644139995917e-23
ellipsoid,WeightedRankCenterStrategy,999,4.1999367683530174e-23
ellipsoid,TrimmedMeanCenterStrategy,42,1.207414946199266e-22
ellipsoid,TrimmedMeanCenterStrategy,123,1.367967287989576e-23
ellipsoid,TrimmedMeanCenterStrategy,7,6.033943570912908e-23
ellipsoid,TrimmedMeanCenterStrategy,2024,2.695009801560152e-23
ellipsoid,TrimmedMeanCenterStrategy,999,6.903900092268806e-23
ackley,ArithmeticMeanCenterStrategy,42,1.2928769166364873e-11
ackley,ArithmeticMeanCenterStrategy,123,4.224620653303646e-12
ackley,ArithmeticMeanCenterStrategy,7,7.763123477388945e-12
ackley,ArithmeticMeanCenterStrategy,2024,9.098943820617933e-12
ackley,ArithmeticMeanCenterStrategy,999,4.615419157971701e-12
ackley,MedianCenterStrategy,42,1.0022649377106063e-11
ackley,MedianCenterStrategy,123,4.768185846160122e-12
ackley,MedianCenterStrategy,7,1.0694112262399358e-11
ackley,MedianCenterStrategy,2024,7.86970488775296e-12
ackley,MedianCenterStrategy,999,1.7252421713465083e-11
ackley,WeightedFitnessCenterStrategy,42,1.0903722369448587e-11
ackley,WeightedFitnessCenterStrategy,123,3.361311229355124e-12
ackley,WeightedFitnessCenterStrategy,7,6.342038005868744e-12
ackley,WeightedFitnessCenterStrategy,2024,4.686473431547711e-12
ackley,WeightedFitnessCenterStrategy,999,6.224798454468328e-12
ackley,WeightedRankCenterStrategy,42,8.605116619264663e-12
