iteration,fx
0,7.708356463335887
10,6.614130516088952
20,5.293242660652208
30,3.662039271038925
40,3.434544051689145
50,2.870615747311469
60,2.427983620300694
70,1.9686350788579365
80,1.5673950809559298
90,1.1041180651409594
100,0.9216824542539688
110,0.5259898937912451
120,0.2875807739799012
130,0.20109880889142007
140,0.11531249633202423
150,0.06397454304889338
160,0.05416222237323298
170,0.03386627459759284
180,0.018295953466037407
190,0.01285078774351378
200,0.008829152911364435
210,0.006257854751084313
220,0.003320700633647977
230,0.003241045527243802
240,0.002595854309369816
250,0.001730625094648719
260,0.0008638419580617729
270,0.0006699553726048357
280,0.00040173233842155653
290,0.0002996476722185726
300,0.00015878108549260972
310,0.00013289032299512726
320,7.77234121867032e-05
330,6.007537383512229e-05
340,4.0514323533802354e-05
350,2.512042497970768e-05
360,1.7374772408818018e-05
370,1.8442771648086165e-05
380,1.115511685201298e-05
390,6.552343031263064e-06
400,4.179698596562531e-06
410,3.718577918920829e-06
420,2.567069902870145e-06
430,2.125724276158536e-06
440,1.1883124568790038e-06
450,1.2589422344611023e-06
460,6.163077768128744e-07
470,5.114573693454361e-07
480,3.623458302293159e-07
490,3.4421485439750654e-07
500,2.0293813607352718e-07
510,1.6863601759453672e-07
520,9.156681146649248e-08
530,6.683957964881415e-08
540,4.257450969546994e-08
550,2.4023841138642865e-08
560,1.987942654935182e-08
570,1.2047941755355396e-08
580,9.636540898583235e-09
590,9.200288975108606e-09
600,8.746657176317285e-09
610,1.072073319008382e-08
620,6.7112826407367265e-09
630,7.840718740936836e-09
640,8.904681880750331e-09
650,8.910671756012789e-09
660,8.183292710128853e-09
670,6.577096645088432e-09
680,6.699881982541456e-09
690,6.426649878932267e-09
700,6.8542651554537315e-09
710,7.139736357686388e-09
720,4.739352466032187e-09
730,5.984418738336217e-09
740,5.719819728966513e-09
750,4.830674971145754e-09
760,4.058609892609866e-09
770,5.322455809420035e-09
780,4.6477954818158196e-09
790,5.660762969483812e-09
800,5.521187507184777e-09
810,5.10098319139729e-09
820,4.520739782520877e-09
830,3.593314534811043e-09
840,4.395680708313421e-09
850,4.049806268113798e-09
860,3.948600113545808e-09
870,3.9138154939166725e-09
880,3.793140468388856e-09
890,2.9230560194548616e-09
900,2.9512858823466104e-09
910,3.202587084416564e-09
920,3.6028144911881554e-09
930,3.3924121289885534e-09
940,3.363180400839383e-09
950,3.756597255488714e-09
960,3.6915115408930887e-09
970,2.453980574301795e-09
980,2.6817166265402648e-09
990,3.3419422784675135e-09
1000,3.118888702857703e-09
1010,2.7614679432019784e-09
1020,2.6843207656668255e-09
1030,2.506621132880582e-09
1040,2.6930782048850688e-09
1050,2.6114865825377365e-09
1060,2.1820594220400835e-09
1070,1.959304274379292e-09
1080,2.453127923018883e-09
1090,2.2725292758707383e-09
1100,1.855696485364433e-09
1110,2.27335350544422e-09
1120,1.8103532006819023e-09
1130,2.5176452034259e-09
1140,1.8048074146292947e-09
1150,1.9560535413631897e-09
1160,1.7338490643226123e-09
1170,2.137781951461193e-09
1180,1.5786096874137456e-09
1190,1.7673014163221978e-09
1200,1.723972520295547e-09
1210,1.378989811229303e-09
1220,1.311427855199554e-09
1230,1.6220629284191546e-09
1240,1.715620090436687e-09
1250,1.5557515276043432e-09
1260,1.4702625783513668e-09
1270,1.4936998304904137e-09
1280,1.2595013920702058e-09
1290,1.6105592415271985e-09
1300,1.1996523774371326e-09
1310,1.0918204118581798e-09
1320,1.408711813866148e-09
1330,1.1665375332370331e-09
1340,1.1345453465594346e-09
1350,1.2394569814944134e-09
1360,1.2297332041555364e-09
1370,8.647025317998214e-10
1380,1.137174354681747e-09
1390,9.797997968519212e-10
1400,1.1315681724965998e-09
1410,9.875553708127427e-10
1420,1.0097882530146762e-09
1430,1.0136500527835324e-09
1440,9.884151275230124e-10
1450,8.942611096074415e-10
1460,9.070864059879113e-10
1470,7.726517203821004e-10
