iteration,fx
0,5.622802917755884
10,2.894717523231581
20,0.6345472323540311
30,0.1698529700707998
40,0.17617018290285502
50,0.06717790083621766
60,0.004087202424259306
70,0.014148801344742612
80,0.007538609306461996
90,0.0029864773807557476
100,0.0015294241060606062
110,0.0005007551255613585
120,4.74975758710805e-05
130,8.127574815874894e-05
140,6.668367142781406e-05
150,2.3647396784287622e-05
160,6.944128096098012e-06
170,5.381029588580333e-06
180,4.391339839759922e-06
190,1.6115423275842033e-06
200,8.473674428799427e-08
210,4.822255985637014e-07
220,1.51504917500489e-07
230,4.625201244223831e-08
240,4.518113927431955e-08
250,5.394948932035959e-09
260,1.722435571949177e-08
270,2.895661044277631e-09
280,1.7959966847058695e-09
290,3.845852525330429e-10
300,1.8778978372324673e-10
310,8.090283998285486e-11
320,2.490141426392256e-11
330,2.1178614417749486e-12
340,1.0715428544472161e-11
350,1.1124434706744069e-12
360,2.4233948181517917e-12
370,2.355893258254582e-12
380,5.6066262743570405e-12
390,9.813039270056834e-12
400,5.503597577671826e-12
410,3.169464690699897e-12
420,5.3863580262714095e-12
430,1.1621814621776139e-12
440,7.610356789200523e-12
450,2.0539125955565396e-12
460,5.1376680687553744e-12
470,7.1094241604896524e-12
480,5.375699885235008e-12
490,4.078959392472825e-12
500,5.397016167307811e-12
510,3.951061700036007e-12
520,6.285194587007936e-12
530,4.18554080283684e-12
540,5.961897642237091e-12
550,1.9118040484045196e-12
560,2.5441870832310087e-12
570,4.508837747607686e-12
580,3.1232794128754904e-12
590,1.1195488980320079e-12
600,7.926548306613768e-12
610,2.0325963134837366e-12
620,9.056311256472327e-12
630,4.377387341492067e-12
640,5.7061022573634546e-12
650,2.3310242625029787e-12
660,1.1870504579292174e-12
670,2.348787830896981e-12
680,1.467714838554457e-12
690,6.729283796857999e-12
700,8.523404204652252e-12
