iteration,fx
0,7.775628703502591
10,6.373638149976458
20,5.020625188669481
30,1.8073126206841086
40,1.835555965787393
50,0.5534636913356299
60,0.9023345169492392
70,0.1594742664240809
80,0.04831217002149346
90,0.030904067487992126
100,0.014858246567545752
110,0.006521090959421105
120,0.0026378687896984054
130,0.0016627175577998976
140,0.0011532025727203354
150,0.000795237509656932
160,0.0004507458796010333
170,5.968994682747919e-05
180,6.0191065817338796e-05
190,3.296151973986028e-05
200,1.4701081479717715e-05
210,5.524822946245678e-06
220,2.060183277752259e-06
230,9.168550723082092e-07
240,4.1227016867040334e-07
250,5.834985867814169e-07
260,1.3537843956967777e-07
270,1.239780407225055e-07
280,6.719489009654467e-08
290,1.663148241348722e-08
300,2.0498817310254935e-08
310,1.035435248653016e-08
320,3.780826762778133e-09
330,3.9606509183442995e-09
340,8.511560345425551e-10
350,4.238533968248248e-10
360,3.018887362316036e-10
370,1.6788037626724872e-10
380,5.933786795253582e-11
390,5.101385980310624e-11
400,1.6648460388068997e-11
410,1.4005241411041425e-11
420,8.182343691487404e-12
430,7.837730464643755e-12
440,1.3415490940360542e-11
450,1.0761613822296567e-11
460,1.0274892048300899e-11
470,1.1436629421268663e-11
480,1.3873791004925806e-11
490,7.667200208061331e-12
500,1.886535372364051e-11
510,1.6300294447546548e-11
520,1.2321255127289987e-11
530,8.782752303204688e-12
540,1.6360690580086157e-11
550,1.4349854637885073e-11
560,1.3600232051658168e-11
570,9.01012597864792e-12
580,1.0331735467161707e-11
590,1.2939427307401274e-11
600,8.704592602271077e-12
610,1.1852296921688321e-11
620,1.2928769166364873e-11
630,1.1163070468001024e-11
640,9.056311256472327e-12
650,1.0509371151101732e-11
660,1.283284589703726e-11
670,1.2616130362630429e-11
680,1.1937562049979533e-11
690,1.6769252653148214e-11
700,1.8524293210475662e-11
710,1.340128008564534e-11
720,1.4133139103478243e-11
730,1.4104717394047839e-11
740,1.0839773523230178e-11
750,7.752465336352543e-12
760,1.064082155721735e-11
770,1.1411760425517059e-11
780,1.255573423009082e-11
790,1.3021139722013686e-11
800,4.711342427299314e-12
810,9.660272581868412e-12
820,5.890843368661081e-12
830,7.87325760143176e-12
840,1.1479261985414269e-11
850,1.02855501893373e-11
860,1.0733192112866163e-11
870,1.199085275516154e-11
880,9.969358671924056e-12
890,1.2822187756000858e-11
900,1.3870238291247006e-11
910,1.1020961920849004e-11
920,1.318811726491731e-11
930,1.5838441669302483e-11
940,1.0868195232660582e-11
950,1.5692780408471663e-11
960,1.0331735467161707e-11
970,1.3276935106887322e-11
980,1.0910827796806188e-11
990,1.3312462243675327e-11
1000,5.787814671975866e-12
1010,1.0324630039804106e-11
1020,1.2950085448437676e-11
1030,7.0952133057744504e-12
1040,1.0822009954836176e-11
1050,1.0967671215666996e-11
1060,8.278266960815017e-12
1070,1.2964296303152878e-11
1080,1.4907630685456752e-11
1090,1.7113865879991863e-11
1100,1.0928591365200191e-11
1110,1.518474235240319e-11
1120,9.269474077200357e-12
1130,1.2996270726262082e-11
1140,7.120082301526054e-12
1150,8.882228286211102e-12
1160,5.7132076847210556e-12
1170,3.418154648215932e-12
1180,1.2971401730510479e-11
1190,6.09690076203151e-12
1200,1.1255441023649837e-11
1210,9.514611321037592e-12
1220,1.3092193995589696e-11
1230,6.661782236960789e-12
1240,9.702905146014018e-12
1250,1.1198597604789029e-11
1260,1.4495515898715894e-11
1270,9.802381129020432e-12
1280,9.276579504557958e-12
1290,1.3035350576728888e-11
1300,9.727774141765622e-12
1310,4.174882661800439e-12
1320,1.0200285061046088e-11
1330,9.233946940412352e-12
1340,7.773781618425346e-12
1350,1.3003376153619683e-11
1360,8.477218926827845e-12
1370,9.031442260720723e-12
1380,2.1455281995486075e-11
1390,8.317346811281823e-12
1400,9.376055487564372e-12
1410,7.891021169825763e-12
1420,9.585665594613602e-12
1430,1.0434764163846921e-11
1440,9.43645162010398e-12
1450,9.78461756062643e-12
1460,1.298205987154688e-11
1470,9.951595103530053e-12
1480,1.1727951942930304e-11
1490,1.4310774787418268e-11
1500,1.3156142841808105e-11
1510,7.361666831684488e-12
1520,1.5984102930133304e-11
1530,1.2278622563144381e-11
1540,1.1330048010904648e-11
1550,1.3603784765336968e-11
1560,8.875122858853501e-12
1570,1.0193179633688487e-11
1580,1.0804246386442173e-11
1590,1.5291323762767206e-11
1600,1.0910827796806188e-11
1610,1.049871301006533e-11
