iteration,fx
0,7.775628703502591
10,6.8569845501233075
20,4.86377937893144
30,3.806304731778685
40,1.8701574736260516
50,0.36424015994461856
60,0.051403655780717816
70,0.044985774317951144
80,0.01543787617080783
90,0.0028061667306116256
100,0.001823494361940181
110,0.0005872364850039169
120,8.687418097297339e-05
130,0.0001059267298555433
140,2.7186125468592337e-05
150,1.2914651933204624e-05
160,6.867671061616676e-06
170,1.6287034125817001e-06
180,5.781683616312705e-07
190,2.0533352484974898e-07
200,6.682630671051015e-08
210,4.17293191112833e-08
220,1.0457143151398895e-08
230,4.343995829714231e-09
240,2.2058874726837985e-09
250,1.7402226326623804e-09
260,5.708433725715167e-10
270,3.145896876333154e-10
280,1.6880763453741565e-10
290,9.769296482886602e-11
300,9.297851377709776e-11
310,2.30504504372675e-11
320,2.3604673771160378e-11
330,2.0510260156925142e-11
340,1.3710366175700983e-11
350,6.707967514785196e-12
360,1.0079492795966871e-11
370,1.2001510896197942e-11
380,1.3220091688026514e-11
390,9.621192731401607e-12
400,9.454215188497983e-12
410,8.836043008386696e-12
420,1.0189626920009687e-11
430,1.042765873648932e-11
440,1.88014048774221e-11
450,8.850253863101898e-12
460,1.1649792241996693e-11
470,1.5625278848574453e-11
480,1.3177459123880908e-11
490,3.5496050543315505e-12
500,1.1873613203761124e-11
510,5.912159650733884e-12
520,8.502087922579449e-12
530,1.1639134100960291e-11
540,1.7334134128077494e-11
550,1.1045830916600607e-11
560,1.1610712391529887e-11
570,1.3184564551238509e-11
580,8.946177132429511e-12
590,1.1006751066133802e-11
600,1.6719514661645007e-11
610,9.93383153513605e-12
620,1.1163070468001024e-11
630,6.644018668566787e-12
640,5.81623638140627e-12
650,8.345768520712227e-12
660,1.3596679337979367e-11
670,1.1088463480746213e-11
680,9.944489676172452e-12
690,8.118394845268995e-12
700,1.659516968288699e-11
710,1.0104361791718475e-11
720,1.0381473458664914e-11
730,9.251710508806354e-12
740,5.7061022573634546e-12
750,1.3010481580977284e-11
760,1.3394174658287739e-11
770,1.1028067348206605e-11
780,3.8906655674963986e-12
790,1.0647926984574951e-11
800,8.981704269217516e-12
810,5.031086658391359e-12
820,1.0985434784060999e-11
830,1.1425971280232261e-11
840,1.156452711370548e-11
850,5.2655657611921924e-12
860,1.404787397518703e-11
870,1.3166800982844507e-11
880,9.091838393260332e-12
890,1.531619275851881e-11
900,1.4026557693114228e-11
910,8.981704269217516e-12
920,1.1958878332052336e-11
930,9.116707389011935e-12
940,9.084732965902731e-12
950,1.5930812224951296e-11
960,1.0200285061046088e-11
970,9.14512909844234e-12
980,1.1550316258990279e-11
990,7.027711745877241e-12
1000,1.1258993737328638e-11
1010,7.599698648164122e-12
1020,9.248157795127554e-12
1030,7.681411062776533e-12
1040,1.2307044272574785e-11
1050,1.2502443524908813e-11
1060,1.4563017458613103e-11
1070,1.0878853373696984e-11
1080,1.1191492177431428e-11
1090,1.673017280268141e-11
1100,1.1752820938681907e-11
1110,1.1170175895358625e-11
1120,1.5163426070330388e-11
1130,1.0043965659178866e-11
1140,3.226308109560705e-12
1150,9.056311256472327e-12
1160,9.269474077200357e-12
1170,2.7076119124558318e-12
1180,1.1152412326964622e-11
1190,6.768363647324804e-12
1200,5.2726711885497934e-12
1210,9.020784119684322e-12
1220,1.0520029292138133e-11
1230,9.916067966742048e-12
1240,9.962253244566455e-12
1250,6.903366767119223e-12
1260,1.2442047392369204e-11
1270,9.088285679581531e-12
1280,9.756195851196026e-12
1290,1.0839773523230178e-11
1300,5.8339999498002726e-12
1310,6.416644993123555e-12
1320,1.013988892850648e-11
1330,9.845013693166038e-12
1340,6.860734202973617e-12
1350,9.564349312540799e-12
1360,1.2498890811230012e-11
1370,8.29603052920902e-12
1380,1.7533086094090322e-11
1390,8.704592602271077e-12
1400,1.1088463480746213e-11
1410,1.3863132863889405e-11
1420,7.564171511376117e-12
1430,7.702727344849336e-12
1440,1.0090150937003273e-11
1450,8.036682430656583e-12
1460,9.518164034716392e-12
1470,8.772094162168287e-12
1480,5.979661210631093e-12
1490,6.249667450219931e-12
1500,6.864286916652418e-12
1510,9.638956299795609e-12
1520,1.0463185873277325e-11
1530,5.1305626413977734e-12
1540,1.1514789122202274e-11
1550,1.6829648785687823e-11
1560,1.3951950705859417e-11
1570,1.1692424806142299e-11
1580,1.1003198352455001e-11
1590,9.5750074535772e-12
1600,7.386535827436091e-12
1610,5.3579363168410055e-12
