iteration,fx
0,4.177831585125382
10,2.9502508454168965
20,0.08212145732576603
30,0.026189091115395247
40,0.00824971648212669
50,0.0011562201128225702
60,8.394147429102716e-05
70,6.724593618390173e-06
80,6.405222471972394e-06
90,2.6746012484757387e-06
100,2.816014093021124e-07
110,4.176478229922509e-08
120,9.147577362256243e-09
130,2.2368333407740693e-08
140,5.68875835327276e-09
150,4.761386840357318e-10
160,1.4047474294898166e-10
170,7.827072323607354e-12
180,2.9605207174654424e-11
190,3.7414515929867775e-12
200,3.4359182166099345e-12
210,2.991829006759872e-12
220,3.4074965071795305e-12
230,4.338307491025262e-12
240,1.645350522494482e-12
250,5.5426774281386315e-12
260,1.6773249456036865e-12
270,2.9385383015778643e-12
280,4.920952534348544e-12
290,4.213962512267244e-12
300,3.54605234065275e-12
310,6.719069745031447e-13
320,5.510703005029427e-12
330,3.290256955779114e-12
340,5.1731952055433794e-12
350,2.4944490917278017e-12
360,5.6208371290722425e-12
370,1.0307310560619953e-12
380,6.189271317680323e-12
390,1.5067946890212625e-12
400,7.624567643915725e-12
410,4.04343225568482e-12
420,2.6578739209526248e-12
430,5.432543304095816e-12
440,3.872901999102396e-12
450,4.647393581080905e-12
460,4.309885781594858e-12
470,4.196198943873242e-12
480,2.9456437289354653e-12
490,4.579892021183696e-12
500,5.5639937102114345e-12
510,4.11093381558203e-12
520,3.9475089863572066e-12
530,5.127009927718973e-12
540,1.595612530991275e-12
550,5.269118474870993e-12
560,1.8194334927557065e-12
570,4.313438495273658e-12
580,4.668709863153708e-12
590,1.7199575097492925e-12
600,6.462830270947961e-12
610,9.773959419590028e-12
620,4.480416038177282e-12
630,5.006217662639756e-12
640,1.695088513997689e-12
650,4.480860127387132e-13
660,7.891465259035613e-13
670,3.986588836824012e-12
680,2.2244428521389636e-12
690,3.7698733024171815e-12
700,3.2298608232395054e-12
