iteration,fx
0,32.85605128025384
10,17.66100621442655
20,3.640243998277068
30,9.632576514868163
40,2.0092917292179355
50,0.3187013382102174
60,3.895921828135048
70,0.8610783328249022
80,1.2454669449290103
90,0.3763380758986625
100,0.5099246907342588
110,0.7116399096905982
120,0.08704704662806707
130,0.12300601951977085
140,0.22576614421634356
150,0.1418134250182233
160,0.04939112826697163
170,0.041227347068715815
180,0.023685473545166542
190,0.012357984483835986
200,0.015949652225775268
210,0.0042948121814687
220,0.0027648261622736565
230,0.004971012905821911
240,0.0033533460024557657
250,0.0007777041948997334
260,0.0014983401247645072
270,0.001453192961663719
280,0.0037878993679943086
290,0.002020427902090832
300,0.0017036435311760458
310,0.0007345200098480547
320,0.0021176826706615194
330,0.0001729283106124897
340,0.0004453579090792513
350,0.0006652318580643562
360,0.0009914399797347118
370,0.0003601996262222243
380,0.00012649816824226534
390,0.0003349133749347482
400,0.00015864032569815832
410,3.685863534693248e-05
420,3.0462293057062557e-06
430,1.7886682226428804e-05
440,1.43209657132099e-07
450,8.546783370655849e-06
460,2.6358602274790677e-06
470,6.175011381149292e-06
480,8.269726856852066e-06
490,2.701329405048531e-06
500,9.412130855972242e-07
510,2.7285350798369737e-06
520,2.8560496611038394e-06
530,2.650876819367813e-07
540,2.2107409502322505e-06
550,6.082690241179196e-07
560,2.7730963785804675e-07
570,7.192158369308543e-08
580,3.6651319918575336e-08
590,1.2854941247002214e-07
600,1.7883081481593327e-07
610,9.054336749375267e-09
620,5.537764691851389e-09
630,2.6231212140447574e-09
640,5.127945724961042e-08
650,3.680179525660258e-08
660,2.4526164205284298e-08
670,1.0143170819183751e-08
680,6.283203563444491e-10
690,3.8271959722827816e-10
700,2.5842149457731638e-09
710,5.940785373686807e-09
720,4.0176174722150235e-09
730,5.594929396631389e-10
740,9.78244346871303e-10
750,1.082611839245408e-10
760,2.7869539919773056e-10
770,6.330792995517394e-10
780,1.6132221377938676e-10
790,3.5345446159558346e-11
800,1.715866567234427e-10
810,1.0006290218445242e-10
820,2.6099678227970404e-10
830,3.8727708779696377e-10
840,3.549254908764858e-10
850,8.126457181213635e-12
860,2.348713287685996e-12
870,2.752371131314002e-11
880,9.606328448953684e-12
890,1.614231825251108e-11
900,2.0036770821417157e-11
910,2.565860424946763e-11
920,4.245789193875818e-11
930,2.783359647726195e-11
940,1.866655737897064e-11
950,9.157073385447571e-12
960,4.2560755058309395e-12
970,1.2265918160824412e-11
980,1.5569258948165037e-11
990,2.9442316097764844e-12
1000,9.635822565275501e-12
1010,6.8065720705410875e-12
1020,7.365249749227414e-12
1030,4.7381493609683955e-12
1040,2.896219081266304e-14
1050,6.715517341185887e-12
1060,1.2400249858323444e-12
1070,5.025710140389307e-13
1080,3.1981560817264344e-13
1090,2.266943991840007e-13
1100,4.3621762706131387e-13
1110,7.108359062633889e-13
1120,1.0496753355539578e-13
1130,4.739963112665261e-13
1140,9.016858842447074e-14
1150,5.61721777828472e-14
1160,4.681923178200976e-14
1170,1.3206082581400188e-13
1180,1.3820268972229604e-13
1190,2.744136608009469e-14
1200,1.264288279409814e-13
1210,6.512153865872485e-14
1220,7.443260222042742e-14
1230,1.707828094606247e-14
1240,3.795847647867417e-14
1250,9.741029139864163e-15
1260,2.6211493192158554e-15
1270,1.0201168966888467e-14
1280,5.544924379303955e-15
1290,2.3390363905604175e-14
1300,7.275421205385092e-15
1310,3.012618682355167e-15
1320,1.5803093677001714e-14
1330,5.789796483653677e-14
1340,6.474411845065176e-15
1350,1.2417435292384952e-14
1360,3.592050293556512e-15
1370,1.2307495897023548e-13
1380,1.1223367184789028e-14
1390,1.7468691249430405e-14
1400,2.938848399336354e-17
1410,1.0463178830087842e-14
1420,4.748623398167167e-15
1430,6.081122207896331e-18
1440,1.4119103106747345e-15
1450,1.0969404530593643e-15
1460,1.0012610352028254e-16
1470,9.977734222815094e-17
1480,1.7392221694775424e-15
1490,7.837514783893657e-15
1500,2.693412272622538e-16
1510,2.5585978462630616e-15
1520,2.037153536590876e-15
1530,2.5443084046669595e-16
1540,9.370319866633533e-17
1550,1.3339423037558497e-16
1560,1.8449052616132066e-15
1570,1.9206598742675063e-16
1580,2.332897761656141e-17
1590,5.029966255720002e-17
1600,1.0388094447363596e-16
1610,1.1454168139031624e-16
1620,3.588815517508789e-17
1630,3.3467114191697476e-17
1640,6.757395435782197e-17
1650,1.2263049430883566e-17
1660,8.62773677696354e-18
1670,3.031968907338517e-18
1680,3.2965457091321783e-17
1690,3.043159574069591e-17
1700,1.508776041255574e-17
1710,5.5780142714853234e-18
1720,5.80079484924449e-17
1730,3.3197643191061734e-17
1740,2.2869409158131214e-17
1750,2.017132615764755e-16
1760,1.0391880984400802e-17
1770,1.6472251613920703e-17
1780,5.195831628276087e-18
1790,1.3196268880975107e-16
1800,2.909858635733841e-17
1810,1.6834849163016838e-18
1820,6.191894510342856e-17
1830,7.900996840450563e-17
1840,2.1542998560118422e-17
1850,3.0603676559941155e-19
1860,5.597649574326279e-18
1870,1.89244322856242e-18
1880,5.407837819526747e-18
1890,1.7054276148772945e-18
1900,6.87470304664944e-18
1910,6.261031331882025e-18
1920,6.969411893830504e-18
1930,1.1180783472550099e-21
1940,1.2092044247752685e-18
1950,4.865545374838729e-18
1960,1.148634701263777e-19
1970,5.813448550237108e-18
1980,2.4795558702485468e-18
1990,6.523000138651186e-19
2000,3.150098447956444e-19
2010,3.8834492478555863e-19
2020,1.2979547815098013e-19
