iteration,fx
0,23.004717357930357
10,2.1904357123319738
20,0.1737089406316988
30,2.142304030209876
40,0.20749688201920358
50,0.010829527057590205
60,0.016602784387420185
70,0.0028678849899208044
80,0.0003318496323389097
90,0.00030440795069283265
100,3.014925320816816e-06
110,5.803034656286328e-05
120,5.506109234662162e-05
130,1.2052986154535664e-05
140,1.2658815993784582e-06
150,6.547285114597432e-07
160,2.2596856701183433e-06
170,7.377769098914291e-08
180,8.637559161923104e-08
190,8.634941096809841e-09
200,1.209637926617884e-08
210,6.7217505642829835e-09
220,8.445183584940665e-09
230,3.1581658331480926e-09
240,2.6087489365707035e-09
250,1.8434251102399602e-09
260,8.801330507258607e-09
270,1.3020261486407526e-08
280,3.942244745905112e-09
290,1.947374847608185e-09
300,5.9686892470681755e-09
310,3.5401186773238886e-09
320,1.992302931200618e-09
330,1.987982919656405e-09
340,3.1333427138289336e-10
350,1.6713261552408467e-10
360,6.135578712551009e-10
370,1.1283380109386421e-10
380,1.1979497606059125e-10
390,1.3068510717213419e-09
400,3.0705818657184302e-09
410,5.216625218908475e-10
420,2.5168225289575397e-10
430,8.224815789732871e-11
440,8.651135374661837e-13
450,7.431274210339853e-11
460,8.564118292025413e-10
470,2.1727712941901417e-10
480,1.1520490730017437e-09
490,1.2237150886299406e-09
500,7.623688073081073e-11
510,8.056242663733605e-09
520,9.859461251419167e-11
530,3.304354874715967e-10
540,1.0742866787458039e-10
550,6.923831085197185e-11
560,2.0774431465720665e-11
570,1.5215927583209182e-11
580,1.6551467718113638e-11
590,1.3673622007585792e-11
600,3.816339509953346e-12
610,1.044648560227092e-13
620,8.320821133583217e-12
630,2.971322069810439e-13
640,2.0632814155413744e-12
650,6.530955101836092e-13
660,1.9149193161548754e-12
670,3.0669529593053433e-12
680,2.3542234910029492e-11
690,7.810516406835541e-13
700,3.6174454897015504e-12
710,2.9634447305829204e-11
720,3.059417627729337e-11
730,4.928565206369708e-12
740,1.488390244885932e-12
750,2.092591667370926e-11
760,2.53722184986622e-12
770,1.084763283299191e-12
780,2.8198645922893934e-12
790,2.469874936767759e-13
800,1.717870632930311e-12
810,7.34059256382462e-14
820,5.166804816187309e-13
830,1.7794229001970055e-12
840,4.486510427781787e-12
850,2.626367681341167e-13
860,2.7219722468284254e-14
870,1.805396169903382e-13
880,6.66443071824271e-13
890,1.66122935628943e-13
900,1.174197148847724e-13
910,1.0870514098234979e-12
920,1.0424179301991885e-12
930,1.4941981813511097e-12
940,3.5725963474896695e-12
950,2.431490987692409e-13
960,3.1535085936515795e-13
970,4.800359654738585e-13
980,9.675335292674448e-13
990,2.2431196991536663e-13
1000,7.998787858182979e-14
1010,2.0524779333676446e-13
1020,1.1961618446209301e-13
1030,1.0844582029589358e-15
1040,5.537257104915657e-16
1050,3.1210337403533664e-14
1060,9.292309148985569e-14
1070,1.6360133169467384e-13
1080,3.908142276821115e-14
1090,2.603939297887663e-13
1100,3.702991128912562e-15
1110,3.5094514863539093e-15
1120,9.924805809370584e-14
1130,2.6834610766759904e-15
1140,8.668764359269055e-17
1150,2.01616396186927e-15
1160,2.694079856128321e-15
1170,1.5022943754956076e-17
1180,1.4421326714354602e-15
1190,4.771766626749355e-15
1200,2.5334009884173316e-15
1210,3.861391467484354e-15
1220,8.499998795736633e-16
1230,4.9377003565586855e-16
1240,7.321276081628147e-17
1250,6.559492730018375e-17
1260,1.0845317921264605e-15
1270,1.959267172637979e-17
1280,6.699254972426474e-16
1290,1.5192557119646937e-16
1300,2.8867965755958607e-16
1310,2.254257437863645e-17
1320,1.1073995676507066e-17
1330,2.3473364191653953e-15
1340,1.187636837942842e-16
1350,2.931202724324442e-17
1360,2.763750554274207e-16
1370,1.069859656924354e-15
1380,3.3079699676250806e-16
1390,8.372505085529063e-16
1400,4.1878594569133856e-16
1410,5.686250297436715e-17
1420,1.094381422848875e-18
1430,2.447674572901215e-16
1440,5.185665879798013e-16
1450,8.947183622652748e-16
1460,4.882089998126742e-16
1470,1.8562221182138426e-15
1480,3.931352444181977e-17
1490,2.9782648188983032e-15
1500,6.017998317364856e-15
1510,3.0411713114254703e-15
1520,4.915391004015944e-16
1530,6.869267257788251e-16
1540,1.833919737800165e-15
1550,8.895347739672825e-16
1560,1.1319606393597915e-16
1570,3.084225970370928e-17
1580,6.200472386849239e-17
1590,3.428431163945042e-17
1600,3.9291637407740345e-17
1610,7.230997789950696e-19
