iteration,fx
0,173.28953578886762
10,3.8330218242670453
20,5.4412884955587035
30,10.777141567476285
40,3.089735908662929
50,0.4518804568874044
60,0.12459183443704228
70,0.020010399081696578
80,0.008260630512759638
90,0.00912984230527785
100,0.002057980881908628
110,0.000616291066158942
120,0.0015907904859913547
130,2.9522009167342896e-05
140,5.435069595401597e-05
150,0.00011261770513953428
160,1.706400764254224e-05
170,1.477779985103461e-05
180,8.357767020782592e-07
190,1.105513577932208e-07
200,1.0700423471940467e-06
210,2.957751414692624e-08
220,4.1557885237726597e-07
230,1.9499386056922673e-07
240,2.8206863763356632e-08
250,3.809698063772291e-09
260,2.6432139160388828e-09
270,1.6308725908991898e-08
280,3.9538576028463e-08
290,9.97059296304694e-10
300,1.2863699844414037e-09
310,2.797133790248151e-09
320,6.494283271746671e-10
330,9.737434621053193e-11
340,7.40744320956682e-12
350,1.092192396492966e-11
360,6.337558887877587e-10
370,2.608436162418362e-10
380,1.389920640589478e-10
390,9.52618035608309e-10
400,1.3554355641501085e-09
410,3.342608385192303e-10
420,9.892241148166774e-10
430,6.222858262703283e-11
440,1.235130537929273e-09
450,3.9613687280199254e-10
460,1.2335817040382605e-10
470,3.4859903694139854e-10
480,1.7710930929991237e-11
490,1.4111985115707443e-11
500,2.724148033911896e-10
510,4.6333686278312334e-11
520,1.2574053488040982e-10
530,6.561196824868598e-11
540,1.1429777277147412e-11
550,1.8632516961433363e-11
560,6.075501509666326e-13
570,3.546524338479913e-12
580,8.358188077764964e-12
590,1.483769582994109e-12
600,5.970871146512756e-12
610,2.9273378768584785e-12
620,5.119141583532715e-12
630,3.590716846571512e-13
640,3.5270162254688965e-13
650,1.6097005324099805e-13
660,2.2313972010290537e-13
670,9.501468479442696e-14
680,8.749318366441386e-14
690,2.0826146598435784e-14
700,7.59867413819589e-15
710,9.329402642920002e-16
720,3.834958846342605e-15
730,2.241940797616412e-15
740,2.5204364512032526e-14
750,1.4885555394571304e-14
760,3.506794771039129e-15
770,1.136998559534939e-14
780,1.0142502363578383e-14
790,1.3797968485049437e-14
800,7.560948654746411e-15
810,5.5396795939122574e-14
820,9.707904987013996e-13
830,1.8280511591164592e-14
840,8.212515749446305e-14
850,2.1538190122815725e-14
860,2.3676449071269678e-14
870,3.610551379410717e-15
880,4.40837156562754e-15
890,3.708622447091112e-14
900,1.0916004932530386e-14
910,5.372174094987004e-15
920,8.619687557988084e-15
930,3.2443595298842905e-15
940,3.801515036710318e-15
950,1.9447820521161853e-15
960,2.0290934139255653e-16
970,1.0474660935401549e-15
980,2.488344988188651e-16
990,9.701285867715545e-16
1000,1.2412388320945557e-16
1010,5.996463712274621e-16
1020,1.1820336626405377e-16
1030,4.49265558934508e-17
1040,1.9207271652390916e-16
1050,1.1010111455129015e-16
1060,2.1052044544987637e-16
1070,3.2773313772342447e-17
1080,1.5051574858010392e-17
1090,3.751840726427077e-17
1100,3.4050768268188895e-17
1110,7.754220352402514e-18
1120,5.624348320716575e-18
1130,1.796711815621779e-17
1140,6.8391132261335365e-18
1150,6.1072578455342065e-18
1160,9.111338800392257e-18
1170,1.7797195064528157e-17
1180,2.3336735049448066e-18
1190,8.049871914013832e-19
1200,3.416118503099625e-18
1210,7.013775818265104e-17
1220,4.2479777967260747e-17
1230,9.316309634705844e-17
1240,4.706829328997015e-17
1250,8.424217049103709e-17
1260,9.811793292619954e-18
1270,2.2381058163831567e-17
1280,4.660781827618961e-18
1290,1.7732544146275726e-18
1300,3.5304971761100707e-20
1310,1.3143903821684125e-19
1320,8.939156270158214e-19
1330,7.16739565307995e-18
1340,3.549429565318642e-18
1350,1.3615777034755854e-17
1360,1.452518609346844e-17
1370,2.7101694939238775e-16
1380,6.539321726695143e-17
1390,9.324225466713965e-17
1400,4.799196078483781e-16
1410,7.931143908851958e-16
1420,3.5886410311329215e-16
1430,1.503360223880089e-16
1440,3.371479583036705e-17
1450,1.0395427695265523e-16
1460,1.704119659875142e-16
1470,1.4606131379051177e-16
1480,1.686575003258054e-18
1490,4.971501211757686e-18
1500,2.9913355925202806e-17
1510,8.840199114890496e-18
1520,7.842216004741508e-19
1530,3.578301486192904e-19
1540,1.3842695051689077e-18
1550,4.637867134478146e-20
1560,9.106073210308682e-19
1570,1.3829737144638789e-19
1580,8.719047336316535e-20
1590,2.3180705067476386e-19
1600,5.24587638707601e-19
1610,2.6448030723263793e-19
