iteration,fx
0,25.1634329948158
10,8.793422777490889
20,1.8603710558916644
30,0.3680786735475104
40,0.5038508942451124
50,0.1426062027318002
60,0.043109260545094494
70,0.003806919116958101
80,0.0008708471075259569
90,0.00030878008756670853
100,1.5060846648850864e-05
110,1.3905486397127216e-05
120,7.182361244304512e-06
130,4.684561666447879e-06
140,2.5469926397925447e-07
150,1.5882493399936342e-07
160,3.485182107585646e-08
170,8.726253634206509e-09
180,8.093922528411461e-10
190,1.5122187486604854e-09
200,7.427939774230906e-10
210,1.2372045402482408e-10
220,1.729466067429659e-11
230,2.343009399755878e-12
240,2.6012430353440544e-12
250,3.1905914000040216e-13
260,2.0971847486969226e-13
270,5.778891132280318e-14
280,7.391007833188406e-15
290,3.7083431072277125e-15
300,3.7633757352363593e-16
310,1.9602538826958262e-16
320,1.5155690164112215e-17
330,2.8380116216836478e-18
340,4.910700666821471e-19
350,1.0188866872070063e-19
360,7.425022334255529e-21
370,1.0735128201333468e-20
380,3.732377484940715e-21
390,7.34875729278107e-22
400,4.744720560670126e-22
410,4.676520143384603e-23
420,1.1834593450503745e-22
430,1.5214954071692664e-22
440,5.721206221177221e-23
450,1.5581972325105481e-22
460,8.563916718487726e-24
470,4.954878077339163e-23
480,1.2756201018462294e-22
490,4.6860083334891185e-23
500,7.99326958090619e-23
510,1.0283443731018302e-22
520,1.848067725640191e-22
530,1.149730309460969e-22
540,9.39372057328257e-23
550,7.626784117900291e-23
560,1.058414178605724e-22
570,8.551604954114878e-23
580,1.0105178585248131e-22
590,1.259496839987931e-22
600,1.2404484170425574e-22
610,1.4704722350849728e-22
620,1.417480713800666e-22
630,1.5962894529217772e-22
640,6.967331584677801e-23
650,9.980405540485235e-23
660,5.662143039223284e-23
670,6.488087345425479e-23
680,4.81645063614612e-23
690,8.905458639164896e-23
700,1.7325040373240339e-22
710,1.4657137505680258e-22
720,1.0546893033823061e-22
730,4.031556202579693e-23
740,2.068678716839386e-22
750,1.2528646364315555e-22
760,3.901056550911192e-23
770,6.963120668474039e-23
780,2.3947056718154573e-23
790,1.5684757206121744e-22
800,3.862413147416148e-23
810,1.2252653033533558e-22
820,6.03786873636104e-23
830,4.995037616458019e-23
840,1.161656931803911e-22
850,1.1283046040595084e-22
860,1.7704044716294578e-22
870,3.4886594018005106e-22
880,5.249879993584237e-23
890,5.254012619132326e-23
900,5.836243558887793e-23
910,7.749798170750413e-23
920,7.659145811162941e-23
930,9.120398064694321e-23
940,4.56122634784088e-23
950,1.5555172891395358e-22
960,8.971792418346746e-23
970,6.989134705936429e-23
980,1.8197431421782426e-22
990,4.406074908303801e-23
1000,6.967523379422164e-23
1010,7.678594980173022e-23
1020,2.508174771842257e-22
1030,1.0157655278018292e-22
1040,1.108698224731433e-22
1050,1.838453541867609e-22
1060,1.3925764625644566e-22
1070,2.0052524055609497e-22
1080,8.862392941010958e-23
1090,1.2925955737125683e-22
1100,8.295974236894111e-23
1110,1.9488300288784616e-22
1120,9.471921977523733e-23
1130,5.726905395612521e-23
1140,1.0069674450426336e-22
1150,9.91857210114732e-23
1160,5.482887309923634e-23
1170,9.545311405943536e-23
1180,5.363079706562134e-23
1190,7.925281666217706e-23
1200,1.0236654825025568e-22
1210,8.097027799213944e-23
1220,5.562732192550953e-23
1230,1.0055368733441019e-22
1240,2.3615757850864515e-23
1250,4.0167028304147405e-23
1260,1.606824818746892e-22
1270,8.939768275381198e-23
1280,6.583451321500073e-23
1290,1.3329645045985403e-22
1300,6.505251994154111e-23
1310,7.446799029128482e-23
1320,8.547408711640667e-23
1330,1.307551336903329e-22
1340,4.175020193262295e-23
1350,4.702357694259722e-23
1360,9.45228344959746e-23
1370,1.1881545922611148e-23
1380,1.117865345047321e-22
1390,1.0611203691482145e-22
1400,3.456632525605918e-23
1410,7.495779829460909e-24
1420,1.996480143046664e-22
1430,1.5713983142631718e-23
1440,1.8957720556282307e-22
1450,1.1369851887473406e-22
1460,6.185441562640005e-23
1470,8.312740690771364e-23
1480,2.0314602121388402e-22
1490,1.5033385134000427e-23
1500,7.185411581031431e-23
1510,8.801526709754024e-23
1520,4.5219104144816225e-23
1530,1.7539307703749583e-22
1540,2.3339102949188176e-22
1550,7.976535094505867e-23
1560,1.2810939568777918e-22
1570,2.3452302260323204e-23
1580,4.868659942636691e-23
1590,4.821331003856931e-23
1600,5.968698713786681e-23
1610,5.309696090740678e-23
