iteration,fx
0,235.5812811404287
10,31.533991975567456
20,8.745247136928505
30,1.2525042297730498
40,0.39863763658629525
50,0.21173515729717196
60,0.02982533092614873
70,0.018894369759555014
80,0.0045297392311267875
90,0.0027457331610560593
100,0.00128290222161709
110,7.957831116934535e-05
120,0.00011007506583562473
130,1.616139903931419e-05
140,4.1260293058365415e-06
150,1.183454004876186e-06
160,5.914340725879279e-07
170,6.432521764471695e-08
180,3.022271916671867e-08
190,1.6156591869761917e-08
200,1.6939710774629655e-09
210,9.259644281098132e-10
220,4.968216625925132e-10
230,2.136055249915504e-10
240,1.0194403927226413e-10
250,3.4079948523789404e-11
260,1.049468440731175e-11
270,4.017756980763385e-12
280,1.63443253609654e-12
290,4.705303205705984e-13
300,3.196592210701936e-13
310,8.972140317693658e-14
320,3.30577980096948e-14
330,2.429954953656075e-14
340,1.1080458297054013e-14
350,2.3092436022522225e-15
360,2.065984990270046e-15
370,5.743024909689207e-16
380,3.1330412891255877e-16
390,7.858615777530841e-17
400,4.289791617521729e-17
410,1.28938102099931e-17
420,6.690744287233081e-18
430,3.73071422805374e-18
440,1.9389720019333552e-18
450,1.042698321768666e-18
460,6.161720050762915e-19
470,8.88646625742541e-19
480,1.4050092521988548e-18
490,4.9152420377794485e-19
500,2.561213142311818e-19
510,1.3615136943861312e-19
520,1.585553080379715e-19
530,2.0000995760884335e-19
540,1.781889598597362e-19
550,7.71448550553808e-20
560,1.473238433827401e-19
570,1.2670848046003585e-19
580,4.8564358237203327e-20
590,1.3204648694158761e-19
600,5.804674548531957e-20
610,5.127770400571858e-20
620,7.271900201954356e-20
630,3.747173900823246e-20
640,4.277035609813757e-20
650,8.918096768168892e-21
660,2.322615077438405e-20
670,1.640446317015072e-20
680,1.2705378725312767e-20
690,1.0307917852782331e-20
700,1.2641738006317791e-20
710,1.1839610745096031e-20
720,1.0946979560706103e-20
730,9.545841637582443e-21
740,6.082138633178293e-21
750,5.6453396919736755e-21
760,5.6586954556065855e-21
770,2.856801925676296e-21
780,3.765857579998442e-21
790,3.561186840964044e-21
800,4.8283512862456816e-21
810,2.7712856403270463e-21
820,1.383936828488534e-21
830,2.7441295611454408e-21
840,2.9031573343363794e-21
850,2.7961486904668838e-21
860,2.6545224724204403e-21
870,1.5478384233486395e-21
880,2.704501365304852e-21
890,2.229644265310464e-21
900,1.991598382225498e-21
910,1.7496076896342664e-21
920,1.865536650934199e-21
930,1.3903673908110386e-21
940,1.5195664904177271e-21
950,2.1551613518300795e-21
960,2.400446770214676e-21
970,1.4139238910024256e-21
980,1.820852089844898e-21
990,9.164509866468074e-22
1000,1.0755371495848111e-21
1010,9.978494227395259e-22
1020,1.3783142656789816e-21
1030,1.5144512192009074e-21
1040,1.1551376462302608e-21
1050,1.2288454850846503e-21
1060,1.2801615544153104e-21
1070,9.549798070061342e-22
1080,1.2254747246056499e-21
1090,6.253784047157986e-22
1100,1.2231264467047526e-21
1110,1.006744854586953e-21
1120,1.2065423425937382e-21
1130,1.548059971950567e-21
1140,1.1412921170135822e-21
1150,1.2699506709967245e-21
1160,2.6390296271298035e-21
1170,2.2153802966784738e-21
1180,1.7154078905870175e-21
1190,1.4573975622857082e-21
1200,1.060111545685117e-21
1210,1.4602563276853834e-21
1220,1.1253969008504102e-21
1230,8.69798850729002e-22
1240,1.7118075157937883e-21
1250,1.3938306657477448e-21
1260,1.4752987319343802e-21
1270,1.9424496195422862e-21
1280,1.3037109805682889e-21
1290,1.3588908637878043e-21
1300,1.5758420287119004e-21
1310,8.190623517607931e-22
1320,1.1244898667064143e-21
1330,9.666565585384398e-22
1340,1.3789132778846714e-21
1350,1.2549938505867232e-21
1360,8.69094069059783e-22
1370,1.499464073131426e-21
1380,1.9352246471441684e-21
1390,2.3494652937142062e-21
1400,1.9423242836183926e-21
1410,2.0101038443364527e-21
1420,1.2922858555123018e-21
1430,1.449622484293628e-21
1440,1.2461037236716024e-21
1450,1.100410658706193e-21
1460,6.414384461879917e-22
1470,1.351897015834802e-21
1480,1.5503097918838344e-21
1490,2.082750127752605e-21
1500,1.458223355665673e-21
1510,1.1743668343193438e-21
1520,1.3000181369461417e-21
1530,1.0202680692221735e-21
1540,2.3231821339184998e-21
1550,2.010361520836141e-21
1560,2.517757048571745e-21
1570,1.8081739095359368e-21
1580,1.1358610555527783e-21
1590,1.9481189810444178e-21
1600,1.9501549990599155e-21
1610,2.0846116657978064e-21
1620,9.681445564700486e-22
1630,1.4975911707048699e-21
1640,1.466538523651014e-21
1650,1.7324614341762562e-21
1660,2.2031805216629414e-21
1670,1.3651389368152012e-21
1680,1.514454643790527e-21
1690,9.388933734171847e-22
1700,1.410099598869224e-21
1710,1.7373137942704945e-21
1720,1.1083537494907494e-21
1730,1.6957649715147657e-21
1740,1.1672052932774983e-21
1750,8.808080844389293e-22
1760,1.8357360526965982e-21
1770,1.8560161440375076e-21
1780,1.9433392358085162e-21
1790,1.880724623950079e-21
1800,1.2301901069317836e-21
1810,6.960134991042423e-22
1820,1.5995989014302993e-21
1830,1.5548614259083462e-21
1840,2.5689234983644432e-21
1850,1.79791643336308e-21
1860,1.2662325511388563e-21
1870,2.342022594208418e-21
1880,1.8313858620919154e-21
1890,7.537626829412084e-22
1900,2.200342057803048e-21
1910,2.147176559535408e-21
1920,8.794380801441739e-22
1930,1.8796773379870286e-21
1940,1.874748667743966e-21
1950,1.9255869416457447e-21
1960,9.472921237007989e-22
1970,1.5827085071109776e-21
1980,1.4304363218645412e-21
1990,1.4712412442831628e-21
2000,2.415340977416247e-21
2010,1.0431556181073848e-21
2020,1.6557158348213742e-21
2030,1.959050262031541e-21
2040,1.1392760177923707e-21
2050,2.409230051154511e-21
2060,2.100792021379447e-21
2070,1.5914593864022265e-21
2080,1.1315769828915761e-21
2090,1.390138355486788e-21
2100,1.894738660843318e-21
2110,2.04520080841533e-21
2120,1.109884781094723e-21
2130,1.145007690240005e-21
2140,1.0845495649091972e-21
2150,1.5251311755066672e-21
2160,2.344983984108287e-21
2170,2.3076735046496297e-21
2180,1.4565236141135665e-21
2190,4.604327969658935e-22
2200,1.3076143523244455e-21
2210,2.464062938824046e-21
2220,2.2382646658211487e-21
2230,1.5344198340753476e-21
2240,2.1867924369350466e-21
2250,1.1924153957828036e-21
2260,1.1848592415042926e-21
2270,1.4392269805461712e-21
2280,1.3135709987629517e-21
2290,1.0932882605792016e-21
2300,1.16221184335657e-21
2310,2.377217245277078e-21
