iteration,fx
0,235.5812811404287
10,92.71988443408848
20,13.23227664633654
30,4.5845679817298635
40,1.159241828719201
50,0.9710296028334362
60,0.07102635541387552
70,0.07002347607963315
80,0.011064242466473105
90,0.008928809578156885
100,0.0028694518529773783
110,0.0003123863368514924
120,5.985834846082557e-05
130,2.4648444414070657e-05
140,3.27087964842578e-06
150,1.1459605395488793e-06
160,6.169750606215183e-07
170,2.550598606093821e-07
180,1.3806662780549917e-08
190,1.632295107480263e-08
200,4.568518138615861e-09
210,1.1893582396782629e-09
220,6.295587233759209e-10
230,8.342759859497373e-11
240,8.933998728007064e-11
250,2.656216021340643e-11
260,9.059628594927862e-12
270,2.7345746798804997e-12
280,4.888648786725169e-13
290,4.1052078967090134e-13
300,8.513697224729182e-14
310,2.9322053723661524e-14
320,3.7160966310832855e-15
330,1.971742229820271e-15
340,4.052378263176003e-16
350,1.6637986931982628e-16
360,4.4866998651152413e-17
370,3.957980781746151e-18
380,3.6709638350513115e-18
390,1.6186859414450664e-18
400,2.5674836132748227e-18
410,4.977541330395067e-19
420,1.0817378818306495e-18
430,8.659675916485501e-19
440,1.1555447301189347e-18
450,2.0817519258814938e-19
460,4.866973690493848e-19
470,1.7036497974719786e-19
480,3.595121057827935e-19
490,1.8817379055499511e-19
500,2.0341997902077917e-19
510,1.2145068305407947e-19
520,8.343213561960312e-20
530,8.788857902169779e-20
540,1.3595775400441363e-19
550,6.652986721548696e-20
560,9.744922179049412e-20
570,7.764692566693301e-20
580,5.622544425389573e-20
590,4.488570510862057e-20
600,4.364238232721284e-20
610,3.9020891330546455e-20
620,4.0482427773252094e-20
630,1.5611936232059376e-20
640,1.512479209341385e-20
650,1.3713014488058234e-20
660,1.8492348228440255e-20
670,6.251822301394553e-21
680,1.1405680788743343e-20
690,4.1242002028329495e-21
700,7.450436311089026e-21
710,7.638080683902743e-21
720,2.5471588547223263e-21
730,3.547066162656002e-21
740,3.8042274428233446e-21
750,3.316000132345169e-21
760,1.743595253170737e-21
770,2.1431615885873717e-21
780,2.065927509214802e-21
790,2.4603952794890663e-21
800,2.722521647580197e-21
810,2.357084569114436e-21
820,2.040364987276118e-21
830,3.028067746569489e-21
840,2.099778237320451e-21
850,1.6041349270370972e-21
860,1.3559733130073716e-21
870,1.5343251879815594e-21
880,1.3149111761462236e-21
890,2.0343351096479284e-21
900,1.0605928359117027e-21
910,2.4418674960102566e-21
920,2.0157653566775873e-21
930,1.3525513914392453e-21
940,1.0727124364168485e-21
950,1.4718822599884465e-21
960,1.4534407929449248e-21
970,1.4195826396976642e-21
980,1.971033192681068e-21
990,1.4644583224591667e-21
1000,2.2804936932984174e-21
1010,6.151347748818889e-22
1020,1.7114542369966647e-21
1030,1.300578776664073e-21
1040,1.3350750709641606e-21
1050,1.3295000387422158e-21
1060,1.531280029054833e-21
1070,1.548631694132098e-21
1080,1.6735455066280739e-21
1090,9.974317734960143e-22
1100,1.564766684668991e-21
1110,6.686969718139124e-22
1120,2.1886679429281282e-21
1130,1.970651586046466e-21
1140,1.0523905727085213e-21
1150,1.874871672975237e-21
1160,1.057931007072541e-21
1170,1.5663992090572447e-21
1180,1.5073558335820086e-21
1190,2.4225183164008823e-21
1200,1.4379259277952155e-21
1210,1.3428199832590405e-21
1220,1.0452914867630172e-21
1230,1.731587395634056e-21
1240,1.2150671327702993e-21
1250,1.5124139306799495e-21
1260,2.4444362487478758e-21
1270,1.7300795796447528e-21
1280,1.5378594073666262e-21
1290,1.7510756089864173e-21
1300,1.960814061150011e-21
1310,1.159191612744933e-21
1320,1.415351324304176e-21
1330,1.246270859799303e-21
1340,1.280237404177881e-21
1350,1.5016555122559168e-21
1360,1.3669104312273272e-21
1370,1.5162789958606426e-21
1380,1.650814904315229e-21
1390,1.6075565789792492e-21
1400,1.8193095606559825e-21
1410,3.0658810854653026e-21
1420,1.3264758062788347e-21
1430,1.935501205447872e-21
1440,1.423591065436374e-21
1450,9.257939120599872e-22
1460,9.417897212597708e-22
1470,1.7413370925448665e-21
1480,1.0363085631499429e-21
1490,1.6032719848369347e-21
1500,2.42684086180417e-21
1510,1.9687392298851886e-21
1520,4.856980667332553e-22
1530,1.0789262426123147e-21
1540,1.214252576414593e-21
1550,2.608376196231583e-21
1560,4.888294251098895e-22
1570,1.2803171395469981e-21
1580,7.882942744300574e-22
1590,9.027309845698878e-22
1600,1.6180646226010647e-21
1610,2.446916389867009e-21
1620,1.4935263443922993e-21
1630,1.5199222003309545e-21
1640,1.5757692591159197e-21
1650,1.5374007729610993e-21
1660,1.300255145092538e-21
1670,1.5424742060835224e-21
1680,1.1530544316520284e-21
1690,1.664860518509493e-21
1700,9.580580617700023e-22
1710,1.4342865751422838e-21
1720,1.2369758495971455e-21
1730,1.5447250603759476e-21
1740,1.3857385356015558e-21
1750,1.486140950687141e-21
1760,2.8263820786784113e-21
1770,8.994505695017757e-22
1780,1.790038709828884e-21
1790,1.47937613919187e-21
1800,8.73853671541596e-22
1810,1.710469669898428e-21
1820,1.7121193980324465e-21
1830,1.7719033194464046e-21
1840,1.9425143405723487e-21
1850,1.3511012723053464e-21
1860,1.2010192189373787e-21
1870,1.8438923647103736e-21
1880,1.0360202390631688e-21
1890,8.763121385611958e-22
1900,1.944064065475676e-21
1910,1.7934002949778474e-21
1920,1.3641063235163086e-21
1930,1.7209304072993937e-21
1940,6.579061088968297e-22
1950,2.2247216195748632e-21
1960,1.1977348156467737e-21
1970,1.0009366406160161e-21
1980,7.119600633250025e-22
1990,7.600266627167201e-22
2000,1.80591432046382e-21
2010,1.2986008265871175e-21
2020,1.178168227007139e-21
2030,1.0524869648214028e-21
2040,1.1828231857918619e-21
2050,2.0092177958771923e-21
2060,1.7405398066584117e-21
2070,8.395849220349012e-22
2080,2.203727561930121e-21
2090,1.1525827997899807e-21
2100,6.303606186671135e-22
2110,2.077538991080004e-21
2120,1.487235757247388e-21
2130,6.54116050583558e-22
2140,1.2311220523943974e-21
2150,1.790633589663607e-21
2160,1.1070791720993331e-21
2170,1.7579393428845666e-21
2180,1.2128639455086064e-21
2190,1.2648800966749783e-21
2200,9.01136967610412e-22
2210,1.541343704358417e-21
2220,4.8230835778484395e-22
2230,1.4283564258803917e-21
2240,1.834819128268676e-21
2250,7.129710957396035e-22
2260,1.2219341190489635e-21
2270,1.618538546745057e-21
2280,7.709110659792065e-22
2290,2.0800029701224233e-21
2300,1.5251031350363896e-21
2310,1.479885624549993e-21
