iteration,fx
0,-1.877364382981856
10,-2.5097756084452905
20,-2.6469412090978928
30,-3.407610623036668
40,-3.504552002099737
50,-2.4922174104482377
60,-2.4537467886506814
70,-3.06014761015126
80,-3.59442958646002
90,-4.628876120196821
100,-4.689069052099336
110,-5.0935423759805
120,-5.668565723816632
130,-5.679344696036614
140,-6.3741944196045335
150,-6.891198623883293
160,-7.0956352717137605
170,-7.167140541971662
180,-7.331519929890005
190,-7.35467415922833
200,-7.360256427214397
210,-7.382060932473887
220,-7.379139915973874
230,-7.384193995141015
240,-7.3860541065281655
250,-7.386260724070127
260,-7.387112036190192
270,-7.38821363108633
280,-7.394455798363232
290,-7.462504595665132
300,-7.872014539047212
310,-8.141952449015076
320,-8.07980365434575
330,-8.097951895979884
340,-8.11927899188047
350,-8.168956321336175
360,-8.177227054644943
370,-8.17999524548695
380,-8.181996031203573
390,-8.182492451402084
400,-8.182850879885695
410,-8.182989739925496
420,-8.182976770772589
430,-8.182986500556243
440,-8.182997773251127
450,-8.182999890998788
460,-8.183000374485166
470,-8.18300055756267
480,-8.183000881730326
490,-8.183000904015593
500,-8.183000955483266
510,-8.183000960844986
520,-8.183000971302794
530,-8.183000972032135
540,-8.183000972863754
550,-8.183000973372671
560,-8.183000973793174
570,-8.1830009738618
580,-8.183000973950143
590,-8.183000973957796
600,-8.183000973970671
610,-8.183000973969627
620,-8.183000973972977
630,-8.183000973973742
640,-8.183000973974043
650,-8.183000973974115
660,-8.183000973974137
670,-8.183000973974146
680,-8.18300097397415
690,-8.18300097397415
700,-8.18300097397415
710,-8.183000973974156
720,-8.183000973974153
730,-8.183000973974153
740,-8.183000973974153
750,-8.183000973974153
760,-8.183000973974151
770,-8.183000973974153
780,-8.183000973974153
790,-8.183000973974151
800,-8.183000973974153
810,-8.183000973974153
820,-8.183000973974153
830,-8.183000973974153
840,-8.183000973974153
850,-8.183000973974153
860,-8.183000973974153
870,-8.183000973974153
880,-8.183000973974153
890,-8.183000973974153
900,-8.183000973974154
910,-8.183000973974153
920,-8.183000973974153
930,-8.183000973974154
940,-8.183000973974154
950,-8.183000973974153
960,-8.183000973974151
970,-8.183000973974153
980,-8.183000973974153
990,-8.183000973974153
1000,-8.18300097397415
1010,-8.183000973974153
1020,-8.183000973974153
1030,-8.183000973974153
1040,-8.183000973974153
1050,-8.183000973974153
1060,-8.183000973974153
1070,-8.183000973974153
1080,-8.183000973974153
1090,-8.183000973974153
1100,-8.183000973974151
1110,-8.183000973974153
1120,-8.183000973974153
1130,-8.183000973974151
1140,-8.183000973974151
1150,-8.183000973974153
1160,-8.183000973974153
1170,-8.183000973974153
1180,-8.183000973974151
1190,-8.183000973974153
1200,-8.183000973974151
1210,-8.183000973974151
1220,-8.183000973974151
1230,-8.183000973974153
1240,-8.183000973974153
1250,-8.183000973974153
1260,-8.183000973974151
1270,-8.183000973974153
1280,-8.183000973974153
1290,-8.183000973974153
1300,-8.183000973974151
1310,-8.183000973974153
1320,-8.183000973974151
1330,-8.183000973974153
1340,-8.183000973974153
1350,-8.183000973974153
1360,-8.183000973974153
1370,-8.183000973974151
1380,-8.183000973974153
1390,-8.183000973974153
1400,-8.183000973974153
1410,-8.183000973974151
1420,-8.183000973974153
1430,-8.183000973974153
1440,-8.183000973974153
1450,-8.183000973974151
1460,-8.183000973974151
1470,-8.183000973974153
1480,-8.183000973974153
1490,-8.183000973974151
1500,-8.183000973974151
1510,-8.183000973974153
1520,-8.183000973974153
1530,-8.183000973974153
1540,-8.183000973974153
1550,-8.183000973974153
1560,-8.183000973974153
1570,-8.183000973974153
1580,-8.183000973974153
1590,-8.183000973974153
1600,-8.183000973974153
1610,-8.183000973974153
1620,-8.183000973974153
1630,-8.183000973974153
1640,-8.183000973974153
1650,-8.183000973974153
1660,-8.183000973974153
1670,-8.183000973974153
1680,-8.183000973974151
1690,-8.183000973974151
1700,-8.183000973974153
1710,-8.183000973974153
1720,-8.183000973974153
1730,-8.183000973974153
1740,-8.183000973974153
1750,-8.183000973974153
1760,-8.183000973974153
1770,-8.183000973974153
1780,-8.183000973974153
1790,-8.183000973974151
1800,-8.183000973974153
1810,-8.183000973974153
1820,-8.183000973974151
1830,-8.183000973974151
1840,-8.183000973974153
1850,-8.183000973974153
1860,-8.183000973974153
1870,-8.183000973974151
1880,-8.183000973974151
1890,-8.183000973974153
1900,-8.183000973974151
1910,-8.183000973974153
1920,-8.183000973974153
1930,-8.183000973974151
1940,-8.183000973974151
1950,-8.183000973974151
1960,-8.183000973974151
1970,-8.183000973974151
1980,-8.183000973974153
1990,-8.183000973974151
2000,-8.18300097397415
2010,-8.183000973974151
2020,-8.183000973974151
2030,-8.183000973974153
2040,-8.183000973974153
2050,-8.183000973974153
2060,-8.183000973974153
2070,-8.183000973974153
2080,-8.183000973974153
2090,-8.183000973974153
2100,-8.183000973974153
2110,-8.183000973974153
2120,-8.183000973974153
2130,-8.183000973974153
2140,-8.183000973974153
2150,-8.183000973974153
2160,-8.183000973974153
2170,-8.183000973974151
2180,-8.18300097397415
2190,-8.183000973974153
2200,-8.183000973974151
2210,-8.183000973974153
2220,-8.183000973974151
2230,-8.183000973974153
2240,-8.183000973974153
2250,-8.183000973974153
2260,-8.183000973974153
2270,-8.183000973974153
2280,-8.183000973974153
2290,-8.183000973974153
2300,-8.183000973974153
2310,-8.183000973974153
