iteration,fx
0,-0.19942307782403568
10,-0.707392932411716
20,-1.42446633731414
30,-1.6440934132218161
40,-1.7574478197081935
50,-1.7919920653785186
60,-1.8012276697340193
70,-1.8012572129523736
80,-1.801303408279403
90,-1.8013025743407112
100,-1.8013033944122874
110,-1.8013034058586916
120,-1.8013034086457465
130,-1.801303409637748
140,-1.8013034097608374
150,-1.8013034100961116
160,-1.8013034100980159
170,-1.8013034100983998
180,-1.8013034100983996
190,-1.801303410098472
200,-1.801303410098538
210,-1.8013034100985443
220,-1.801303410098553
230,-1.8013034100985532
240,-1.8013034100985528
250,-1.8013034100985532
260,-1.8013034100985528
270,-1.801303410098553
280,-1.8013034100985532
290,-1.801303410098553
300,-1.8013034100985525
310,-1.8013034100985532
320,-1.8013034100985532
330,-1.8013034100985532
340,-1.801303410098553
350,-1.8013034100985532
360,-1.8013034100985532
370,-1.8013034100985528
380,-1.8013034100985523
390,-1.8013034100985523
400,-1.8013034100985532
410,-1.8013034100985528
420,-1.8013034100985532
430,-1.8013034100985532
440,-1.8013034100985523
450,-1.8013034100985534
460,-1.8013034100985532
470,-1.801303410098553
480,-1.8013034100985532
490,-1.8013034100985532
500,-1.8013034100985532
510,-1.8013034100985534
520,-1.8013034100985534
530,-1.8013034100985528
540,-1.8013034100985528
550,-1.8013034100985528
560,-1.8013034100985532
570,-1.801303410098553
580,-1.8013034100985528
590,-1.8013034100985532
600,-1.8013034100985532
610,-1.8013034100985532
620,-1.8013034100985532
630,-1.8013034100985532
640,-1.8013034100985528
650,-1.8013034100985534
660,-1.8013034100985532
670,-1.8013034100985534
680,-1.8013034100985525
690,-1.8013034100985528
700,-1.801303410098553
