iteration,fx
0,-3.4704990356754766
10,-2.4693903381883393
20,-2.908467112775488
30,-3.0790577292219337
40,-1.935952913373792
50,-2.487726086217516
60,-3.1283541074469534
70,-2.6877352087862296
80,-2.916587966647747
90,-2.4956146672437756
100,-2.5850249694375957
110,-2.9768298514239966
120,-2.5529087806561166
130,-3.153650115479124
140,-3.3221283788745506
150,-3.0984028362526295
160,-4.044427294789719
170,-2.8405670387666566
180,-2.586177953346781
190,-3.279291160985133
200,-3.23618623086252
210,-2.7865590442054997
220,-4.025085173279842
230,-2.944597942030124
240,-4.111260188514726
250,-3.4502264600305104
260,-2.0243423945011667
270,-2.9453290997463486
280,-3.122953307881177
290,-4.746506458155544
300,-2.3889514939290364
310,-2.2910864373482234
320,-2.9317280385248
330,-4.4848669154821295
340,-5.378646531127404
350,-4.01668855768162
360,-3.3176900130163847
370,-4.544587093053718
380,-4.52625806227302
390,-4.220187233883627
400,-3.8278961223514316
410,-4.050280388356951
420,-4.820812857972627
430,-3.6906503711871355
440,-4.8584747251461655
450,-4.833456008286683
460,-3.954980559286676
470,-4.68812063037889
480,-4.588631909804137
490,-5.250454390479624
500,-5.601816867922364
510,-5.6667966284221425
520,-5.8779496932761095
530,-6.012599976195232
540,-5.92777060086889
550,-6.100139547005751
560,-6.1435951091061085
570,-6.1711682726208155
580,-6.167680098290501
590,-6.173249111277208
600,-6.172915447038328
610,-6.175997376568317
620,-6.176836300043695
630,-6.180110595073919
640,-6.181746252108498
650,-6.182243016890741
660,-6.182416828395849
670,-6.182596672364499
680,-6.182660008835629
690,-6.182661716811369
700,-6.182702464904944
710,-6.182711553414168
720,-6.182719047904231
730,-6.182722229189159
740,-6.182713467628405
750,-6.18272876253846
760,-6.182730188554068
770,-6.182730265956868
780,-6.182731496665339
790,-6.182731803172556
800,-6.182732074458858
810,-6.182732297120398
820,-6.182732488939986
830,-6.182732521490606
840,-6.182732581148608
850,-6.182732588857392
860,-6.182732609901983
870,-6.182732607991187
880,-6.182732620088906
890,-6.182732621031253
900,-6.182732627119874
910,-6.182732625868325
920,-6.182732629107159
930,-6.182732630113318
940,-6.182732630847406
950,-6.182732631293974
960,-6.182732631468316
970,-6.182732631585059
980,-6.182732631661706
990,-6.182732631731375
1000,-6.182732631789227
1010,-6.182732631817181
1020,-6.1827326318299445
1030,-6.182732631849612
1040,-6.18273263186347
1050,-6.182732631858384
1060,-6.182732631863733
1070,-6.182732631871519
1080,-6.182732631877877
1090,-6.182732631878153
1100,-6.182732631878299
1110,-6.1827326318784515
1120,-6.182732631878672
1130,-6.18273263187875
1140,-6.18273263187902
1150,-6.182732631879112
1160,-6.182732631879135
1170,-6.182732631879242
1180,-6.1827326318793645
1190,-6.182732631879461
1200,-6.182732631879475
1210,-6.182732631879535
1220,-6.182732631879582
1230,-6.182732631879622
1240,-6.182732631879646
1250,-6.182732631879666
1260,-6.182732631879686
1270,-6.1827326318797295
1280,-6.182732631879733
1290,-6.182732631879755
1300,-6.1827326318797695
1310,-6.182732631879771
1320,-6.182732631879772
1330,-6.182732631879776
1340,-6.182732631879778
1350,-6.182732631879779
1360,-6.1827326318797775
1370,-6.18273263187978
1380,-6.182732631879778
1390,-6.182732631879779
1400,-6.182732631879779
1410,-6.182732631879779
1420,-6.182732631879779
1430,-6.18273263187978
1440,-6.182732631879779
1450,-6.182732631879778
1460,-6.182732631879779
1470,-6.18273263187978
1480,-6.182732631879782
1490,-6.182732631879783
1500,-6.182732631879782
1510,-6.182732631879781
1520,-6.182732631879782
1530,-6.18273263187978
1540,-6.182732631879781
1550,-6.182732631879781
1560,-6.182732631879781
1570,-6.182732631879779
1580,-6.182732631879782
1590,-6.18273263187978
1600,-6.182732631879782
1610,-6.182732631879783
1620,-6.182732631879782
1630,-6.182732631879782
1640,-6.182732631879783
1650,-6.182732631879785
1660,-6.182732631879783
1670,-6.182732631879783
1680,-6.182732631879784
1690,-6.182732631879784
1700,-6.182732631879782
1710,-6.182732631879784
1720,-6.182732631879782
1730,-6.182732631879782
1740,-6.182732631879785
1750,-6.182732631879783
1760,-6.182732631879784
1770,-6.182732631879785
1780,-6.182732631879783
1790,-6.182732631879782
1800,-6.182732631879783
1810,-6.182732631879782
1820,-6.182732631879782
1830,-6.182732631879782
1840,-6.182732631879783
1850,-6.182732631879785
1860,-6.182732631879783
1870,-6.182732631879785
1880,-6.182732631879783
1890,-6.182732631879782
1900,-6.182732631879783
1910,-6.182732631879784
1920,-6.182732631879782
1930,-6.182732631879783
1940,-6.182732631879785
1950,-6.182732631879783
1960,-6.182732631879784
1970,-6.182732631879784
1980,-6.182732631879782
1990,-6.182732631879785
2000,-6.182732631879785
2010,-6.182732631879784
2020,-6.182732631879784
2030,-6.182732631879783
2040,-6.182732631879783
2050,-6.182732631879784
2060,-6.182732631879783
2070,-6.182732631879783
2080,-6.182732631879783
2090,-6.182732631879784
2100,-6.182732631879783
2110,-6.182732631879783
2120,-6.182732631879783
2130,-6.182732631879784
2140,-6.182732631879784
2150,-6.182732631879783
2160,-6.182732631879782
2170,-6.182732631879784
2180,-6.182732631879783
2190,-6.1827326318797855
2200,-6.182732631879783
2210,-6.182732631879783
2220,-6.182732631879783
2230,-6.182732631879782
2240,-6.182732631879782
2250,-6.182732631879784
2260,-6.182732631879782
2270,-6.182732631879784
2280,-6.182732631879783
2290,-6.182732631879783
2300,-6.182732631879783
2310,-6.182732631879783
