iteration,fx
0,665128.4983725365
10,46851.21699667684
20,53569.32005311644
30,2646.4879050597065
40,1523.5395299594484
50,1814.4466387444115
60,1115.2130432108013
70,843.616957107563
80,670.1053588928643
90,228.62752406837154
100,116.64508502337108
110,53.13207124230861
120,20.393058300916035
130,14.235988427749147
140,10.849262736276907
150,9.238609310023104
160,8.943277687609264
170,8.452764452936034
180,8.307032051074973
190,8.03449411125306
200,7.741991964398134
210,7.354659173485444
220,7.2608092935252015
230,6.751391533687297
240,6.2888718565731505
250,6.335063035674365
260,5.738318057837266
270,5.728426267177879
280,5.427031709241503
290,5.329367328821659
300,4.795322554715946
310,4.694805987427429
320,4.424404985155432
330,4.378640621495047
340,4.047196467983862
350,3.9306857066352388
360,3.6882383883561225
370,3.5771150731014334
380,3.5971004223484093
390,3.201486322602017
400,3.0369943148137137
410,2.8415548630186036
420,2.697729962063749
430,2.361018781122639
440,2.175926758286813
450,1.821799131401351
460,1.6378225839327485
470,1.467659262803004
480,1.3406943547037948
490,1.22638297715282
500,1.0039541282575946
510,1.0275216718308204
520,0.5827712214582881
530,0.5097375085596189
540,0.40201400199612136
550,0.2823616306740281
560,0.17351691288608034
570,0.1591159390097917
580,0.14525122340148672
590,0.07916525384749817
600,0.06483563116844202
610,0.06831347316628608
620,0.034903233856494714
630,0.023239156578118342
640,0.01129862547044945
650,0.00952446889391989
660,0.005389810664795639
670,0.0006626071828770353
680,0.0002727360329540373
690,0.0001193595268285728
700,2.4302381073946736e-05
710,5.1891534122810025e-06
720,5.062498317528315e-06
730,1.0864404661367415e-06
740,1.0057047011617555e-06
750,5.27146045306249e-07
760,1.135001637542419e-07
770,5.4699704786866826e-08
780,8.059162812074114e-09
790,3.651118003954932e-09
800,1.5547136515846361e-09
810,2.5365041935435106e-10
820,5.26154133566176e-11
830,4.220201398539263e-11
840,8.53422052344255e-12
850,1.0111780763344997e-11
860,1.1841571680847673e-12
870,7.129005321036742e-13
880,2.654148285979647e-13
890,8.090492448956258e-14
900,4.618348945371111e-14
910,8.028830500219504e-15
920,4.2547537921900665e-15
930,1.8555151223291914e-15
940,1.0187596459993928e-15
950,1.9189287445025923e-16
960,1.3840646586755645e-16
970,4.184906294120882e-17
980,1.3816238257296172e-17
990,5.127601521144272e-18
1000,1.1456136371991939e-18
1010,8.221433437966638e-19
1020,2.4121101400455284e-19
1030,1.0294161695763659e-19
1040,1.6885767715035877e-19
1050,1.2880091628832708e-19
1060,1.6962825302560814e-19
1070,1.0724688819571367e-19
1080,1.3539284434481542e-19
1090,1.225775644058035e-19
1100,1.1601863862582374e-19
1110,1.2697995151436844e-19
1120,8.842192176154762e-20
1130,1.6799976693552083e-19
1140,1.1849188223356147e-19
1150,6.02818060714108e-20
1160,8.164680623137612e-20
1170,5.973613517035537e-20
1180,1.0426052367282707e-19
1190,1.122187076010172e-19
1200,6.860453784449402e-20
1210,8.259484277522138e-20
1220,1.603747261962215e-19
1230,1.287719842492367e-19
1240,6.293482796378063e-20
1250,8.471898508662078e-20
1260,1.1279125232359589e-19
1270,1.006618621937142e-19
1280,1.6811024366024374e-19
1290,1.0092288357091767e-19
1300,1.3410385578113445e-19
1310,8.280031370231723e-20
1320,9.157392549456265e-20
1330,1.2070052607109815e-19
1340,1.7599698930634292e-19
1350,8.960879079716338e-20
1360,1.6432943435847598e-19
1370,1.4749719999297514e-19
1380,1.483761337880771e-19
1390,9.739977032169679e-20
