iteration,fx
0,1.7640377653382302
10,144.58204639794985
20,438.03521149866566
30,521.7439621121484
40,-1136.6316960263118
50,526.142720270595
60,-1443.2820051518088
70,-2488.388674166851
80,-3067.8002004429736
90,-1663.150697690939
100,-3241.3703355947473
110,-1218.698076055236
120,-846.1560055220364
130,-4778.216684619034
140,-5454.226345471338
150,-5563.904298712017
160,-8631.119199537146
170,-8690.944833874308
180,-8729.171902152255
190,-8727.062392434183
200,-8763.914193376599
210,-8764.054662077988
220,-8764.204114978724
230,-8764.222191535926
240,-8764.223061558272
250,-8764.22306612888
260,-8764.223066363558
270,-8764.223066373126
280,-8764.22306637526
290,-8764.223066375274
300,-8764.22306637528
310,-8764.223066375283
320,-8764.223066375283
330,-8764.223066375283
340,-8764.223066375282
350,-8764.223066375283
360,-8764.223066375283
370,-8764.223066375283
380,-8764.223066375283
390,-8764.223066375283
400,-8764.223066375283
410,-8764.223066375283
420,-8764.223066375283
430,-8764.223066375283
440,-8764.223066375283
450,-8764.223066375283
460,-8764.223066375283
470,-8764.223066375283
480,-8764.223066375283
490,-8764.223066375283
500,-8764.223066375283
510,-8764.223066375283
520,-8764.223066375283
530,-8764.223066375283
540,-8764.223066375283
550,-8764.223066375285
560,-8764.223066375283
570,-8764.223066375283
580,-8764.223066375283
590,-8764.223066375283
600,-8764.223066375283
610,-8764.223066375283
620,-8764.223066375283
630,-8764.223066375283
640,-8764.223066375283
650,-8764.223066375283
660,-8764.223066375283
670,-8764.223066375283
680,-8764.223066375283
690,-8764.223066375283
700,-8764.223066375283
