iteration,fx
0,661.7249643358605
10,2489.7208827743143
20,-461.23709476627846
30,-804.5743836931897
40,524.0198755560123
50,2221.7958565522613
60,-25135.245906147815
70,-30390.287706564428
80,-74835.47701028822
90,-160055.34513203753
100,-83424.60677690429
110,-467238.5037476444
120,-729648.7929544637
130,-2515863.8332406487
140,-5644478.137696162
150,-3500092.8518496267
160,-11552709.418916639
170,-24048258.926938083
180,-19328696.552306786
190,-113721617.25666182
200,-515694939.5281828
210,-1043189020.8578988
220,-1621553669.926884
230,-1638624705.7796865
240,-1984003201.0796494
250,-4053542995.3992934
260,-3017749399.4203258
270,-4116423154.4127336
280,-4159668148.919812
290,-1896619971.5427709
300,-5157758296.007856
310,-4097638566.458248
320,-6782970154.928306
330,-5742224324.814569
340,-5098673920.271077
350,-5464207097.935921
360,-9272050316.87484
370,-4806484428.91981
380,-4106268671.8740873
390,-10225459097.791882
400,-9193307072.977888
410,-16647746987.298506
420,-10181318867.798164
430,-7987273289.215791
440,-19004837818.590454
450,-28895864991.270874
460,-22788009484.84967
470,-27003846727.826176
480,-20376186442.194263
490,-10388841865.482977
500,-20273902563.916794
510,-15796118091.194757
520,-13651343321.139822
530,-20113123152.139946
540,-23294349047.28607
550,-14695823512.118656
560,-13787868893.567636
570,-19882106692.154045
580,-24390716141.076557
590,-9525021394.647734
600,-19839058287.883553
610,-32666960569.25019
620,-25332683652.421146
630,-20589824205.84285
640,-22574651524.416496
650,-23693075523.995285
660,-34258402695.60223
670,-23950877177.010494
680,-31632496561.37198
690,-33446045976.16533
700,-39410364488.86472
710,-30573637893.551926
720,-22780306811.120457
730,-30079487203.33968
740,-28093632410.16925
750,-36860306124.75292
760,-35660692185.261795
770,-40226205595.54343
780,-31947925725.8734
790,-34242574149.44334
800,-36762682267.09985
810,-22714837608.061443
820,-21046804553.47382
830,-48029011477.77107
840,-47522536232.224724
850,-27220460857.350662
860,-19428075931.947075
870,-35433969811.04058
880,-22084863238.77313
890,-34332900385.872166
900,-49569109163.50967
910,-34820626457.452805
920,-19689673547.85433
930,-35757175398.17834
940,-50454731847.715675
950,-24142656171.02672
960,-20677168374.918285
970,-17605415307.909607
980,-35879877711.69422
990,-37144149145.53596
1000,-92751654937.24779
1010,-43084243390.87306
1020,-35694170457.76616
1030,-22337532135.6384
1040,-31098886150.763172
1050,-52092871053.71467
1060,-47286352792.566574
1070,-49454589284.46285
1080,-45953732632.79599
1090,-37017385992.568214
1100,-16517376908.54139
1110,-31271364349.906414
1120,-24079108680.851357
1130,-46889529080.31578
1140,-24754045178.304607
1150,-56062695120.36567
1160,-63850078677.86352
1170,-77182229610.25304
1180,-28660417754.09929
1190,-40697682168.892494
1200,-64604743636.947
1210,-52019433946.75597
1220,-48049781003.34368
1230,-59868183228.30653
1240,-41399084026.001884
1250,-92528815793.31577
1260,-46070019069.23849
1270,-120891928226.12314
1280,-59294263602.3537
1290,-66117671716.78742
1300,-73607414742.36752
1310,-74467617960.22719
1320,-70388090970.21388
1330,-97649576880.77354
1340,-28414286718.136105
1350,-204559602746.98642
1360,-248242112414.65244
1370,-285816973757.06226
1380,-366585442367.7033
1390,-359066977076.20746
1400,-110440670123.59474
1410,-455087494078.69794
1420,-52628590449.67261
1430,-250424040048.5786
1440,-386108075163.97736
1450,-591820643902.7308
1460,-369093862207.5334
1470,-407935890781.1954
1480,-325021652473.88776
1490,-183408818360.45938
1500,-492670494603.34485
1510,-570590120333.0671
1520,-204214858065.00885
1530,-166201512115.60922
1540,-291438600854.8009
1550,-271355425759.9306
1560,-67836119878.57289
1570,-136671194046.02786
1580,-256657243884.78464
1590,-298342836250.55414
1600,-488319266754.70544
1610,-260865153406.13586
1620,-207095783325.7863
1630,-114693445253.04994
1640,-333625444133.3501
1650,-160733974720.3374
1660,-187389399345.61243
1670,-121369027138.28365
1680,-245696650860.92563
1690,-193148406468.49756
1700,-383479821367.21576
1710,-287463168788.2577
1720,-376066599590.7881
1730,-295621376298.14966
1740,-419022097565.98254
1750,-358326592034.38324
1760,-328476155485.0663
1770,-372631416696.77704
1780,-404191271222.0216
1790,-378490165623.1153
1800,-304831921476.42975
1810,-857116253803.9513
1820,-658915949988.6548
1830,-762189491860.1346
1840,-703847991830.3832
1850,-1366495330554.2625
1860,-1556504691172.777
1870,-1201077687067.251
1880,-2332217300991.609
1890,-1437887163694.5894
1900,-1454316197058.7874
1910,-1645047105518.3313
1920,-1246179441952.0623
1930,-1357146452582.062
1940,-670785112645.9869
1950,-1255924476042.7397
1960,-1436840402884.7913
1970,-1508806839429.5679
1980,-1459859838086.247
1990,-657359867042.6907
2000,-1148197066658.1357
2010,-1606591823731.7358
2020,-1402161138441.6665
2030,-1137912355365.0107
2040,-821674926422.9855
2050,-1034127488046.0072
2060,-1038931620867.7513
2070,-939979878092.6805
2080,-1354262511540.6892
2090,-1645856514928.108
2100,-1497684400612.7776
2110,-1144895325643.7556
2120,-1912743979471.8792
2130,-1188259228658.5474
2140,-1139901060302.992
2150,-2155722139954.0159
2160,-1142202170697.8635
2170,-1327992963013.1692
2180,-1090949386040.6013
2190,-2918660681802.276
2200,-2337613684774.1904
2210,-2323567844633.7026
2220,-2990042214435.3447
2230,-2388958408673.7935
2240,-2663785720937.6904
2250,-1927321436281.6597
2260,-980296933657.689
2270,-2297811281052.451
2280,-2730082688247.1655
2290,-1201372950284.502
2300,-1554913523378.133
2310,-2034012638667.9077
