iteration,fx
0,1285.0163574792637
10,698.8357346322023
20,-2873.3083964534408
30,-5776.18663642785
40,-6177.949968630476
50,-6588.404041599289
60,-3607.7357462365353
70,-18047.946136837596
80,-73124.52702946811
90,-133841.38053035463
100,-195288.799830037
110,-802616.6018354353
120,-2019056.37147067
130,-5080949.375116548
140,-11204336.91238441
150,-18598761.656113073
160,-54293745.56385421
170,-38041381.215845674
180,-77530118.88205203
190,-61449247.84448501
200,-306665614.5366049
210,-6039383818.547996
220,-4856866123.395799
230,-15195474619.035212
240,-12774573241.207735
250,-9583282101.666182
260,-17555883706.98415
270,-15767053760.539694
280,-6816036908.953576
290,-16623849973.126505
300,-5521394957.718211
310,-11533036837.569992
320,-4312880567.655932
330,-9801443846.952919
340,-21266606848.1085
350,-14523803421.35516
360,-10322382228.832924
370,-16801156659.247637
380,-14308594874.852823
390,-26350596377.982723
400,-5949187515.202191
410,-40455104389.853806
420,-31524713699.472553
430,-31925850232.11732
440,-13892072422.528004
450,-19381156990.95441
460,-39180778099.48261
470,-34972708023.124
480,-31360748740.353603
490,-15550762786.95833
500,-55226446858.26789
510,-33327812076.829052
520,-93711223147.51805
530,-74862897532.00543
540,-29227063009.248104
550,-80950974631.5591
560,-34533757715.80121
570,-65583051102.666885
580,-59451751907.79161
590,-49531317232.6827
600,-88449139407.4896
610,-79831668539.30809
620,-74954956980.97276
630,-121444049193.9499
640,-58991204923.4071
650,-4245656269.898196
660,-43931782285.958206
670,-72024221247.04077
680,-71172765654.61748
690,-98562902645.14214
700,-55537508445.141106
710,-101200075489.46552
720,-93871853234.51949
730,-36732073494.085594
740,-34927718830.897545
750,-83036883755.7154
760,-74229622352.33528
770,-77037733132.86276
780,-47776271180.43773
790,-25039982238.42625
800,-22841776467.894276
810,-108544053019.21567
820,-73596588597.74911
830,-56920586499.42505
840,-23715842945.33794
850,-50155876748.87622
860,-81949030181.69736
870,-58119672888.76093
880,-58407985600.10641
890,-24467675907.28824
900,-74702997983.56212
910,-60907943553.42829
920,-116699499906.41017
930,-235605357598.51395
940,-145195919964.79095
950,-193123746795.8249
960,-250497196402.37408
970,-223592705631.58835
980,-290423328121.47955
990,-153807127118.41553
1000,-149659955034.10214
1010,-279251824680.7234
1020,-132283890252.19807
1030,-262828302572.323
1040,-337484706515.0025
1050,-148520149443.5046
1060,-31280441392.597675
1070,-181279682830.4253
1080,-348936714505.0208
1090,-105584168532.02054
1100,-298773038534.68933
1110,-374189396214.70734
1120,-1037147414921.532
1130,-212620881887.6618
1140,-691404817450.5583
1150,-1460291550604.16
1160,-1603039831690.692
1170,-36944813826.857735
1180,-1588491546525.0854
1190,-1378301158740.3984
1200,-940192569597.679
1210,-2401931509405.0728
1220,-1745557761733.4336
1230,-3010177052517.5205
1240,-3024002900208.681
1250,-850935632476.415
1260,-3568528708724.5254
1270,-2848729937024.3633
1280,-1684127021911.1055
1290,-2368583947934.2397
1300,-3876997326800.47
1310,-3142784215599.87
1320,-2880379342716.821
1330,-4758799860572.676
1340,-3231608807812.2876
1350,-5810793822534.692
1360,-5411916223683.212
1370,-4891378595418.107
1380,-3095718538970.6567
1390,-6219903238240.197
1400,-4962953670636.889
1410,-8671724347863.596
1420,-7118201770415.535
1430,-4645030594665.589
1440,-5359507020827.0625
1450,-7196688112532.476
1460,-7816654092635.235
1470,-9388947260062.611
1480,-5662679975585.181
1490,-4543356664988.681
1500,-8899798957492.16
1510,-13700117130444.322
1520,-9698129571384.338
1530,-7180179202064.164
1540,-6227626138700.162
1550,-14825785158382.049
1560,-16584435931554.809
1570,-26672599271427.445
1580,-15372266702550.781
1590,-30753817571497.94
1600,-17982573574220.508
1610,-18841271598265.51
