iteration,fx
0,1069.822240286528
10,-416.60057709260263
20,-46668571.5887873
30,-3951196651.650629
40,-16506967959.859007
50,-156119181233.27057
60,-3050131459023.7993
70,-619195381018.8457
80,-1077959982099.2102
90,-783567970856.2266
100,-1368068912920.899
110,-1047358161314.1602
120,-832717701553.4729
130,-1569528871864.892
140,-14788504279658.725
150,-1114593818828.0935
160,-5468074613700.141
170,-11447639107938.395
180,-8199678448235.887
190,-11762842957480.605
200,-4981557064513.39
210,-3192741142291964.0
220,-1.3396052765315476e+16
230,-1676483238667042.0
240,-2083407652113001.0
250,-1.6163729335457006e+16
260,-1.0666353493173744e+16
270,-9793611656032334.0
280,-1.9011267571355452e+16
290,-8.887888244129517e+16
300,-5.5064818760279635e+17
310,-2.8095229270769674e+18
320,-1.9234098393343337e+18
330,-5.954274530361872e+18
340,-6.881173627931018e+18
350,-4.468446809898603e+18
360,-1.3804318699951544e+19
370,-2.8583562938781276e+18
380,-4.485580315402863e+18
390,-9.858097545831991e+18
400,-8.45181648728747e+18
410,-2.0140350420265938e+18
420,-3.391443552243695e+18
430,-1.6356047760371255e+19
440,-2.269732907741202e+19
450,-1.1542853439865808e+20
460,-8.829918076513833e+20
470,-7.533631367021722e+19
480,-8.865729590645733e+20
490,-1.2228393930540413e+21
500,-3.804463359522997e+20
510,-2.8225032651742878e+20
520,-2.3837483254248993e+21
530,-3.2347225185793165e+21
540,-2.9882105080446682e+22
550,-2.154956958642204e+22
560,-1.2222120345522117e+25
570,-2.179617090362554e+25
580,-1.853305325645137e+25
590,-2.10515033100082e+25
600,-7.853226245606406e+25
610,-2.2750381718073116e+25
620,-5.910998880977601e+25
630,-2.935191364900977e+25
640,-1.993438626173425e+25
650,-1.215121428723346e+26
660,-1.3240309892630898e+25
670,-4.923210811639387e+25
680,-2.2495937277618972e+25
690,-2.4868991394891835e+25
700,-3.1013153355972577e+25
710,-2.955483591341842e+25
720,-2.463046378169667e+25
730,-2.565378505318378e+25
740,-1.6183360715744243e+25
750,-6.004083315007045e+24
760,-9.016910127302056e+25
770,-5.072549617756263e+26
780,-8.594467097277515e+26
790,-2.9567707915962743e+26
800,-1.941025057006224e+27
810,-2.238866712149796e+28
820,-7.222112032489208e+26
830,-6.512895352117325e+27
840,-1.828712909876291e+27
850,-7.843922183406025e+27
860,-1.9925919446672886e+28
870,-1.036650942048183e+28
880,-4.085836100495856e+28
890,-6.250897357175478e+28
900,-5.241866435039312e+28
910,-3.8702854434782743e+28
920,-6.219821596201726e+28
930,-5.424122580793471e+29
940,-2.468570363580309e+30
950,-4.338598258816239e+30
960,-6.66518575404411e+30
970,-7.96061729757081e+30
980,-1.3243485753366454e+30
990,-5.517649911160584e+30
1000,-1.5341564869693526e+32
1010,-9.04183196474336e+32
1020,-9.177094354165093e+32
1030,-5.3455118078017936e+35
1040,-1.5048436946324543e+35
1050,-7.47768925412992e+36
1060,-1.1768038007562764e+37
1070,-7.491977252570204e+37
1080,-1.5145436624904887e+37
1090,-3.9433979700245074e+37
1100,-6.0161749010227565e+38
1110,-1.8279491193068642e+40
1120,-9.331008026454214e+40
1130,-9.664894018787942e+39
1140,-6.655930314191182e+40
1150,-1.937696869401652e+41
1160,-2.002638724646055e+41
1170,-2.7632562171179294e+41
1180,-1.7252559602967727e+41
1190,-6.0030274039211954e+41
1200,1.320135911238345e+42
1210,-1.9031253565520152e+42
1220,-2.6073674252440575e+41
1230,-8.69756477870493e+42
1240,-5.128183416458665e+43
1250,-1.0206812675811597e+46
1260,-4.223456781126915e+45
1270,-7.56236507779086e+48
1280,-2.629865257918521e+48
1290,-9.80052203658729e+47
1300,-5.827905722479737e+49
1310,-4.307105876330799e+49
1320,-6.78466054001185e+49
1330,-1.3679455865756735e+50
1340,-5.794693357273055e+49
1350,-8.599460017139914e+49
1360,-9.273205620246317e+49
1370,-5.378390622544514e+50
1380,-1.5352495463025525e+50
1390,-2.761222945433565e+50
1400,-1.1660140856611324e+50
1410,-5.596210749358671e+50
1420,-2.482121910334023e+50
1430,-2.1408484225834423e+51
1440,-8.447298551955783e+51
1450,-2.2512945703142432e+51
1460,-4.2495666502749753e+52
1470,-1.2705410883596143e+52
1480,-2.3182909111844535e+53
1490,-1.2018523503806087e+53
1500,-1.0466617368504418e+53
1510,-6.507743485209697e+53
1520,-9.251928679905065e+53
1530,-6.390375647842078e+53
1540,-1.1678709909191578e+54
1550,-3.892947905617723e+54
1560,-4.205094407379989e+54
1570,-1.678057012206462e+54
1580,-1.634702675806835e+55
1590,-5.845345992939438e+55
1600,-2.4982604275047473e+55
1610,-9.290340399324744e+55
