iteration,fx
0,1069.822240286528
10,1435.1448559209816
20,179.88165535185703
30,-298.5886775943891
40,-5261.836406834172
50,-17487.00596575645
60,-72224.68685709882
70,-46059.108012732424
80,-83913.30255292919
90,-128417.21635117351
100,-73458.78597646677
110,-33429.63556086973
120,-6452.438416570997
130,-542894.1875459962
140,-205912.8286478633
150,-365232.54667719733
160,-290742.37676865933
170,-383740.705413315
180,-512129.9224992503
190,-443783.08016853535
200,-307997.46717640595
210,-250053.13585969797
220,-620489.4182095922
230,-697040.9764438269
240,-1063300.5646762769
250,-945318.2053920785
260,-1848238.809078313
270,-2753306.4165746244
280,-4671041.279375044
290,-14282682.63233878
300,-24139875.19522091
310,-15714750.498545263
320,-27689888.548693046
330,-36482539.10689341
340,-19076844.904383387
350,-75316289.19024551
360,-23929439.313458957
370,-9058734.805752954
380,-121865770.03843199
390,-276187675.4786488
400,-440080652.0116837
410,-781412181.9004247
420,-1117181324.3537967
430,-683466651.4190605
440,-2778474387.5940824
450,-1506465822.47251
460,-1823071407.0074046
470,-2078729144.2446468
480,-3641554239.168693
490,-1902133310.9945376
500,-1421425097.8342686
510,-2837895542.2073255
520,-2458905113.5653086
530,-1988994061.4275568
540,-2863770066.48039
550,-1679824294.617221
560,-4320349778.378326
570,-4329692496.91093
580,-3891346164.134074
590,-5758107417.775617
600,-3933698002.0040903
610,-4647205156.9997425
620,-6454504206.152045
630,-9006650424.257336
640,-7294728211.824808
650,-5085316794.918229
660,-11200752521.216995
670,-7172644446.333398
680,-12880782987.65309
690,-13636176777.83132
700,-7637369011.570563
710,-5635065670.667872
720,-13734645529.217249
730,-15923088369.959461
740,-19426805485.13115
750,-26240650790.44625
760,-19870276103.95615
770,-10649761276.860235
780,-6434668696.396686
790,-12957030111.055033
800,-5342440730.970313
810,-14451998539.048655
820,-28944455061.194134
830,-30123893282.170467
840,-13967403555.452658
850,-29536105088.40559
860,-34379844293.74127
870,-17494429767.954914
880,-27035839393.41354
890,-23618978976.887848
900,-10033447689.24919
910,-12784141105.607775
920,-35017603465.9158
930,-45475749804.04189
940,-27004335432.128727
950,-11404904443.752005
960,-13350757631.930481
970,-8208347464.293506
980,-24167400586.14452
990,-18978881034.271538
1000,-9262244542.351398
1010,-16292432360.46509
1020,-24982460160.93814
1030,-24088776455.655483
1040,-9950588584.475729
1050,-16672932236.152794
1060,-30030470896.991238
1070,-39956614810.76457
1080,-30776475557.61417
1090,-4622050856.294412
1100,-22357884143.032154
1110,-20214933713.288166
1120,-21972174990.673088
1130,-25945094967.52261
1140,-15657894690.686787
1150,-27728588956.25466
1160,-29507022719.095238
1170,-35236520751.35202
1180,-32960134566.29382
1190,179974630.70179272
1200,-28359014405.273525
1210,-16941797295.551485
1220,-17425197372.08335
1230,-23072606407.64215
1240,-46428318662.32364
1250,-27953588513.802147
1260,-37411078837.86245
1270,-42512183972.05699
1280,-38729848950.29967
1290,-59499188694.22582
1300,-51535296282.26858
1310,-40765218083.83728
1320,-44321830675.127975
1330,-22815947218.57724
1340,-33881372482.297928
1350,-44896176502.72672
1360,-26655493434.52381
1370,-34076261632.778088
1380,-32318717866.13462
1390,-24224575094.418064
1400,-71165946576.76068
1410,-20445921560.015682
1420,-41714041932.589066
1430,-63062430233.593735
1440,-38992647665.402245
1450,-19053420717.758213
1460,-52035558693.6261
1470,-72653892964.04962
1480,-45662654186.44005
1490,-41783247929.224785
1500,-50784754933.710236
1510,-25222316808.41328
1520,-33284470135.170895
1530,-67287979340.69071
1540,-59176297535.99416
1550,-49093896471.29573
1560,-33771275101.69676
1570,-54641570703.86574
1580,-40262559722.18654
1590,-44267192709.80186
1600,-49887986123.6294
1610,-57991411757.90678
