iteration,fx
0,92.40113185844758
10,38.60172591361433
20,36.16911637918343
30,29.57941109607707
40,17.047204116507288
50,2.920584895849329
60,1.5905486852041928
70,0.3904809531591891
80,0.19675846780878456
90,0.01859062460110992
100,0.015609370585484145
110,0.006361127259788428
120,0.0025100559271595607
130,0.0014879011872466225
140,0.0005852294505077406
150,0.00028194637368515773
160,6.168932301713458e-05
170,1.0252214146707988e-05
180,6.956960711413096e-06
190,8.347541816650616e-07
200,8.271485723553736e-07
210,2.3423389387242584e-07
220,1.0709771561062761e-07
230,3.2275948698528974e-08
240,9.368738226214686e-09
250,6.517781154645006e-09
260,2.059909987103515e-09
270,1.4277912084807772e-09
280,3.848014709062954e-10
290,1.3066911412508348e-10
300,4.162300128584875e-11
310,2.7889628957419817e-11
320,1.2977085908363511e-11
330,3.46027009119595e-12
340,2.2558001653526905e-12
350,5.783293323037272e-13
360,1.692483293688907e-13
370,3.057904149253047e-14
380,6.065964833664406e-15
390,3.24301604316677e-15
400,9.070318755436056e-16
410,6.3492476528061015e-16
420,3.290649353055759e-16
430,1.6410453777132165e-16
440,2.174529046219895e-17
450,1.515246949839573e-17
460,2.5448686611474135e-18
470,2.4948664628958795e-18
480,1.4708016877436896e-18
490,6.717007267217598e-19
500,4.908372156222466e-19
510,1.9703636671117127e-19
520,5.634729958244713e-20
530,5.379224956075696e-20
540,3.6159868871529815e-20
550,3.698654114420186e-20
560,2.739565769983249e-20
570,3.043130650771339e-20
580,2.3375216165612252e-20
590,2.0350103144808313e-20
600,1.8814465692234145e-20
610,9.062809129715401e-21
620,7.926629137166384e-21
630,1.1499611378748387e-20
640,6.5837154008468105e-21
650,9.523549439493222e-21
660,3.649103677944148e-21
670,4.828161821878722e-21
680,1.5329970225014252e-21
690,2.3365553309393526e-21
700,3.761178069964532e-21
710,1.0513673728594118e-21
720,1.320134282119099e-21
730,8.904875255475126e-22
740,1.3799153023076931e-21
750,4.105428276323403e-22
760,1.1567156957176758e-21
770,1.0774514039553506e-21
780,3.810243119728798e-22
790,4.586873641223236e-22
800,2.612284170963979e-22
810,5.913032569150305e-22
820,4.450236929986436e-22
830,4.792155469792429e-22
840,6.95265659388993e-22
850,3.0896776258103443e-22
860,4.316302238392272e-22
870,1.7944187090652061e-22
880,6.837615289875232e-22
890,4.439137225384932e-22
900,2.0880531978349432e-22
