iteration,fx
0,5.392709753909935
10,0.062417049888508006
20,0.11675953279217917
30,0.03144511529779698
40,0.004334303441062944
50,0.0004479803281594066
60,0.00022051953038786906
70,0.00011835668740123548
80,3.492072927993676e-05
90,6.079044271542805e-06
100,4.92704747853559e-07
110,7.969848909400044e-08
120,1.5218839592693782e-08
130,7.464893737930344e-10
140,1.5051356601062523e-09
150,1.5171541262127957e-10
160,4.4450459752045184e-12
170,1.7526716379373626e-11
180,7.157921442187031e-12
190,1.3092969076835405e-12
200,9.134242442882674e-14
210,5.616520992838883e-14
220,2.2619342699333666e-15
230,2.2567121122018407e-16
240,2.0846685005904505e-17
250,3.422428530466832e-18
260,2.7635952738316024e-18
270,1.8956771434472835e-18
280,1.9698080731218912e-19
290,3.209194296762118e-20
300,1.8447709952999962e-20
310,1.9011813835363677e-21
320,9.13983213822871e-21
330,4.659037890383824e-22
340,2.626888521329891e-22
350,1.444110112481506e-22
360,1.7198588139957413e-23
370,2.6120920710562675e-24
380,3.6337533806279584e-24
390,2.3785258617927453e-25
400,5.32698330764955e-24
410,3.0415778819801742e-24
420,7.746058165146671e-24
430,1.0682316279678503e-23
440,4.0077702050759876e-24
450,7.123549375631157e-24
460,1.2143480610789847e-24
470,4.889317928397243e-24
480,2.026441020177257e-24
490,1.628484096817449e-24
500,2.81824571598987e-24
510,4.2453314678728994e-24
520,9.394892881076818e-25
530,9.278774050071636e-25
540,1.0195545383024655e-24
550,2.2466543015470353e-24
560,5.279453924492396e-24
570,4.8037722971351734e-24
580,3.4448478732060416e-24
590,1.1107408708082327e-24
600,5.311250775251705e-24
610,5.7205485484686784e-24
620,2.0798692288011052e-23
630,6.3342355467690136e-24
640,3.950285480942002e-24
650,3.390853879803683e-24
660,3.23118288636966e-25
670,4.3459732781685234e-24
680,4.593682618815942e-24
690,1.6177804580142015e-23
700,5.748391599175499e-24
