iteration,fx
0,76.3787092798563
10,30.419141435424294
20,31.328730033652572
30,7.108877331336633
40,0.7886277984899669
50,0.030853085460535234
60,0.05597044094895581
70,0.010928875801507434
80,0.0010440233006017614
90,0.00031573209125400944
100,1.507426242672356e-05
110,3.168991772643784e-05
120,5.8038717529549395e-06
130,2.650630394199822e-06
140,3.714159885455492e-07
150,6.867209060899737e-08
160,1.9960191171314696e-08
170,1.465278206871928e-09
180,1.344226764133589e-09
190,2.330498176796355e-10
200,2.187263193118145e-10
210,3.705185755426777e-11
220,3.1457149494259394e-12
230,1.849994236994318e-12
240,3.907767717261821e-13
250,4.4983314012790046e-14
260,1.8206949123044324e-14
270,4.942511922797755e-15
280,1.0302017054108405e-15
290,4.620354764496172e-16
300,6.474620531483496e-17
310,6.793743239043078e-18
320,2.464495941713205e-18
330,4.565245257938707e-19
340,5.227556702118575e-20
350,1.3221939217266228e-20
360,2.739725836649335e-21
370,1.8589310982917686e-21
380,1.6592560918969917e-21
390,1.5588062192668674e-22
400,4.309832112097131e-22
410,3.197826957846679e-23
420,3.0991295422709104e-23
430,5.296231178565935e-23
440,4.413279300983415e-23
450,1.9526791904133017e-23
460,3.327530939523123e-23
470,4.327471696501206e-23
480,1.2235397171324243e-23
490,3.423711767860141e-24
500,1.2440980504163551e-23
510,2.565324055023817e-23
520,2.827075338807691e-23
530,3.1351095282264255e-23
540,3.033808890775659e-23
550,6.670563054906707e-23
560,2.1319068073549034e-23
570,6.739295343703936e-23
580,1.8494612399793882e-23
590,2.1532149702015843e-23
600,6.055324796651981e-23
610,6.108918761589563e-23
620,3.359559757993934e-23
630,2.042572523461063e-23
640,4.0760040893221974e-23
650,2.5906991330892698e-23
660,1.3117873762927866e-24
670,4.5111375434465955e-23
680,3.23196586258398e-23
690,2.801593466452676e-23
700,1.8370629308936658e-23
710,4.9856660111412714e-23
720,3.434995066722546e-23
730,4.705725605573025e-24
740,2.308603072855747e-23
750,1.4024710628482366e-23
760,6.044066585178651e-23
770,5.515215415060241e-23
780,7.427558512006591e-23
790,2.545106999303976e-23
800,2.688264577729165e-23
810,5.57936778164587e-23
820,5.2123718437067576e-23
830,5.090109013634172e-23
840,6.761293947835795e-23
850,4.496232121065143e-23
860,5.480696696747613e-23
870,4.985152363238743e-23
880,6.080641117490993e-23
890,3.543149686917219e-23
900,4.9958479611189675e-23
910,1.8748709849226457e-23
920,4.8552577240766276e-23
930,3.016616307023892e-23
940,4.178647079099349e-23
950,7.553564488024131e-23
960,5.513673704070337e-23
970,8.130461588533444e-23
980,1.0186112818375628e-22
990,6.184421980224951e-23
1000,5.28199560963692e-23
1010,6.212973373761995e-23
1020,6.46603854584772e-23
1030,3.7657074748397945e-23
1040,1.85766836237526e-23
1050,2.3536459191167007e-23
1060,3.977811666499092e-23
1070,2.976658932012328e-23
1080,2.4625939043460752e-23
1090,5.0007239951482656e-23
1100,3.045391211995217e-23
1110,2.0794774140820558e-23
1120,2.2445682710288336e-23
1130,1.5034672855316295e-23
1140,3.109775839432095e-23
1150,1.181611537756405e-23
1160,1.4412373042083407e-23
1170,4.494325469584779e-23
1180,5.059350601255841e-23
1190,1.5546181435169307e-23
1200,2.3874725224236443e-23
1210,3.427311703137981e-23
1220,1.5821049884497264e-23
1230,4.0425074149133553e-23
1240,5.584742076823691e-23
1250,2.2163586230637708e-23
1260,2.1784941686585144e-23
1270,3.1304156656592226e-23
1280,6.405013242148502e-23
1290,2.3536295881558434e-23
1300,1.4592226858540986e-23
1310,2.3916345428543813e-23
1320,1.7832420964943154e-23
1330,2.3674646516942866e-23
1340,4.913083001223706e-23
1350,6.013218586953842e-24
1360,2.703277567343658e-23
1370,3.478928562517078e-23
1380,6.771268614446266e-23
1390,3.829986712294529e-23
1400,3.8545353032700495e-23
1410,1.108371691174464e-23
1420,3.190145602219097e-23
1430,3.522136715350213e-23
1440,5.1116240209970846e-23
1450,7.892020592413696e-23
1460,3.783294273616548e-23
1470,4.703302208290581e-23
1480,1.8252346498798492e-23
1490,6.455583290679369e-23
1500,7.376509289570352e-23
1510,1.872152596418649e-23
1520,2.7420416928027606e-23
1530,3.875944046996087e-23
1540,2.5065507144587693e-23
1550,9.622499194094624e-23
1560,5.632993620809921e-23
1570,1.1632479186667769e-23
1580,5.974022698407612e-23
1590,1.9488428750249892e-23
1600,5.679139254385682e-23
1610,5.827249197737853e-23
