iteration,fx
0,16.857620512333387
10,19.232935595870455
20,4.894653482568318
30,0.5679864219558137
40,0.044182922273087226
50,0.0073337177747138495
60,0.001287137534838952
70,0.00012756715671145794
80,5.9320464700986677e-05
90,9.850929206773431e-06
100,1.3906408927487292e-06
110,6.503699780834131e-08
120,1.0034634282862468e-08
130,4.013445808801217e-09
140,1.0709156099015374e-10
150,3.4590304062639836e-11
160,3.1015517545485968e-12
170,1.4562441012964091e-12
180,6.867467170647326e-13
190,5.830851321325585e-14
200,1.4829093990100746e-14
210,5.6182869946766725e-15
220,2.555691066707507e-15
230,1.0299240478747618e-15
240,8.955913992009226e-17
250,3.1717850067085273e-17
260,1.2218154036324009e-17
270,8.696447641536906e-18
280,1.829806270093495e-18
290,3.711860748141472e-19
300,7.353211361484151e-20
310,1.1589123684346695e-20
320,1.3361169171419212e-20
330,8.445755730885917e-22
340,8.933636765242882e-22
350,2.1255142405705897e-22
360,1.7099669503813238e-23
370,2.841243214105556e-23
380,2.3764153068024563e-23
390,4.7034093922617894e-23
400,1.3821984955252552e-23
410,3.256146510417464e-23
420,1.1753829277524884e-23
430,2.5722708044141487e-23
440,1.0930938716940866e-23
450,3.410353446207561e-23
460,3.8882411375942983e-23
470,3.5901856504503114e-23
480,1.7259707997263017e-23
490,8.583606641097738e-23
500,1.510775991541096e-23
510,1.003834606944466e-23
520,3.3099029298201044e-23
530,3.1062965328867857e-23
540,5.0944161447749773e-23
550,3.500891149905132e-23
560,4.7112244350886505e-23
570,4.654245898168251e-23
580,5.505755627255958e-23
590,3.056670454720966e-23
600,2.5834394633707162e-23
610,4.4177472530584986e-23
620,5.491895885679547e-23
630,3.2678137097207795e-23
640,1.0143187729599596e-23
650,2.3968035801530806e-23
660,5.1774335279540654e-23
670,1.16108953205775e-22
680,3.195672968773125e-23
690,2.1289845192206242e-23
700,7.230979536352422e-23
710,3.3004459684811365e-23
720,3.0767553283057614e-23
730,4.9112316333633295e-23
740,2.2301877553957046e-23
750,1.0538154574198991e-22
760,5.274296630283312e-23
770,5.948731447955819e-23
780,5.721922531522469e-23
790,5.294706529912581e-23
800,2.0527907741014156e-23
810,6.451776120098222e-23
820,2.688028624368707e-23
830,4.187927414564018e-23
840,5.498614252504856e-23
850,1.9793961992795577e-23
860,4.786926917588534e-23
870,9.320292486410354e-23
880,4.654786728159629e-23
890,5.00349580492091e-23
900,7.414051869570178e-23
910,8.364381449034403e-23
920,3.760552819346434e-23
930,2.954139996558296e-23
940,1.121163268968167e-22
950,5.704986817684073e-23
960,1.3014549563289772e-23
970,8.619176002748856e-23
980,2.5562509788347714e-23
990,1.6618638359950905e-23
1000,2.8992309788033714e-23
1010,3.919075416814965e-23
1020,4.771446012642872e-23
1030,1.7151449784420916e-23
1040,3.397894304568239e-23
1050,2.7445181684834225e-23
1060,5.794285629352871e-23
1070,1.780338656259905e-23
1080,3.4408044872323234e-23
1090,8.787651451517289e-23
1100,7.778412146228994e-24
1110,2.5910911341328713e-23
1120,3.4688476969673166e-23
1130,3.719127769993316e-23
1140,4.730534776057536e-23
1150,4.6197727372500037e-23
1160,3.7850528175969954e-24
1170,7.406860452458266e-23
1180,3.076064529527498e-23
1190,4.6042001463922006e-23
1200,4.562334516630829e-23
1210,3.9191790230698187e-23
1220,4.581030264771436e-23
1230,2.4140032173335117e-23
1240,3.7913923003797605e-23
1250,2.1538421997359333e-23
1260,4.297167545399452e-23
1270,7.62632582379961e-24
1280,8.167110001418936e-23
1290,1.661834996728865e-23
1300,5.616927860244604e-23
1310,4.3090716370114765e-23
1320,5.382142626225525e-23
1330,5.436075631247104e-23
1340,2.677825156215628e-23
1350,6.163412159985672e-23
1360,5.249179898254679e-23
1370,6.891073191013929e-23
1380,5.917784118976712e-23
1390,3.3168053114643514e-23
1400,5.359588391337309e-23
1410,1.889961479725587e-23
1420,5.360284869752451e-23
1430,3.4598313132621314e-23
1440,2.841068609765022e-23
1450,5.163528850971261e-23
1460,4.017451360081535e-23
1470,5.328718066426601e-23
1480,4.4135338463712984e-23
1490,6.62698932553275e-23
1500,4.0460230258188994e-23
1510,3.8470521105357553e-23
1520,1.9913911211302414e-23
1530,3.017098709273356e-23
1540,5.0659094887071953e-23
1550,5.395473895115501e-23
1560,3.142772578117283e-23
1570,1.9414728313221632e-23
1580,2.91608439836794e-23
1590,3.110145783468767e-23
1600,2.3319276100785084e-23
1610,2.249807654194352e-23
