iteration,fx
0,385.30628023785056
10,171.79134269391443
20,154.77688998669382
30,85.34326971401822
40,41.16677411986954
50,13.581194443167126
60,6.3958052182051786
70,4.9684521737576945
80,1.4812575167598663
90,1.0656934231748256
100,0.3636421801365483
110,0.25068237954799066
120,0.07870932070163358
130,0.04787575101346099
140,0.03059734377786722
150,0.010606508544987235
160,0.005879635485108291
170,0.0020506771692759313
180,0.001723044940851609
190,0.00045985510623564155
200,0.0003716530229758738
210,0.00013741055285906452
220,8.353263384489904e-05
230,2.5392103909654773e-05
240,2.6408533388477177e-05
250,1.2483313023556154e-05
260,6.63729151003881e-06
270,2.9516715449906497e-06
280,1.2694474646834684e-06
290,9.028768329420545e-07
300,6.452844128446244e-07
310,2.566199177523993e-07
320,1.3910824182620632e-07
330,1.095396426416524e-07
340,1.1406676507676824e-07
350,6.103905550610353e-08
360,1.894723001882399e-08
370,5.659788574273451e-09
380,4.732289453219823e-09
390,1.9523539424286333e-09
400,8.050189833936897e-10
410,3.3697682473324323e-10
420,1.8896775306475266e-10
430,4.56655545167292e-11
440,2.6534301991482705e-11
450,1.530987721967296e-11
460,4.849636633850856e-12
470,5.238501178442507e-12
480,2.2731142809347602e-12
490,1.1301286452107557e-12
500,3.554056199770756e-13
510,3.278427364598436e-13
520,1.373186530133126e-13
530,3.972915414149415e-14
540,2.9900581159343605e-14
550,2.254245203443836e-14
560,8.251532698742147e-15
570,1.045623247997827e-14
580,6.55966219787548e-15
590,3.026444753047403e-15
600,1.2467013384292222e-15
610,4.1032442810273206e-16
620,2.0808868481550891e-16
630,1.175507443300603e-16
640,6.410859141200632e-17
650,4.888504221737289e-17
660,5.838779428674703e-17
670,5.677329631119956e-17
680,6.23910254174491e-17
690,3.136524691913602e-17
700,4.490195722302831e-17
710,4.5662719394612483e-17
720,5.3219637494607374e-17
730,4.020947765122974e-17
740,3.760526336813181e-17
750,3.5213017046992325e-17
760,2.1484936450918424e-17
770,2.816031046949565e-17
780,3.2843810787297746e-17
790,1.9117184257059626e-17
800,2.430321707309581e-17
810,1.779998302810697e-17
820,2.0619844614870778e-17
830,1.9762957433623124e-17
840,2.364367186687103e-17
850,1.5407497313163423e-17
860,1.6462546665534307e-17
870,1.6641639313827884e-17
880,1.9087763543382108e-17
890,1.1406398363280225e-17
900,1.4951740049294873e-17
910,1.0643166678690201e-17
920,1.6835503085608128e-17
930,1.737331841776369e-17
940,1.327646664275485e-17
950,9.662965484854206e-18
960,9.753593404422343e-18
970,1.1151307672072898e-17
980,9.459103412844142e-18
990,1.0505018195541744e-17
1000,3.730808502751762e-18
1010,4.97052077484519e-18
1020,4.417442446460633e-18
1030,7.491270272190075e-18
1040,6.2863409259351225e-18
1050,5.151161037350447e-18
1060,7.298074968760302e-18
1070,6.440923006511883e-18
1080,5.018749373957243e-18
1090,4.62555103326665e-18
1100,4.53908413705273e-18
1110,3.472935584364134e-18
1120,3.122216626918474e-18
1130,5.0499401668982526e-18
1140,3.805286853543186e-18
1150,3.731728119579176e-18
1160,4.658135885259004e-18
1170,2.7008439027056265e-18
1180,2.422062673418111e-18
1190,2.417949776509544e-18
1200,2.2709885225077962e-18
1210,2.3467156147916502e-18
1220,2.4776797224039983e-18
1230,1.771688130143719e-18
1240,4.0865222258587125e-18
1250,1.6912777217754103e-18
1260,1.6058328883431336e-18
1270,1.7219729123833145e-18
1280,1.3983840198124438e-18
1290,2.5504580430744683e-18
1300,2.328040539159655e-18
1310,1.7770816477135984e-18
1320,4.963847510778771e-19
1330,1.07958931509893e-18
1340,9.05717249854951e-19
1350,9.21200329480794e-19
1360,1.3788559826003713e-18
1370,1.1835057999491585e-18
1380,1.1398362782409368e-18
1390,1.1581476767329638e-18
1400,6.805966424136863e-19
1410,8.42830586036315e-19
1420,9.502266252852409e-19
1430,7.74069524233059e-19
1440,3.510576054764756e-19
1450,7.631276507386697e-19
1460,7.940262603442399e-19
1470,5.440422508413268e-19
1480,6.7395668464488945e-19
1490,5.748972675322663e-19
1500,3.8101866859842005e-19
1510,3.2099172087280646e-19
1520,3.6390723743953997e-19
1530,3.886015818388903e-19
1540,5.278506036722822e-19
1550,2.8547332119372353e-19
1560,3.5284523726312306e-19
1570,2.455327373568521e-19
1580,3.355270129917621e-19
1590,2.975601680239733e-19
1600,2.693698527767287e-19
1610,3.012318934065271e-19
1620,3.8547656768241235e-19
1630,3.9063731772371274e-19
1640,2.3804600479043684e-19
1650,1.6364913672526626e-19
1660,1.9791342327428594e-19
1670,1.8401490528554372e-19
1680,1.9245511257320846e-19
1690,2.422848495601261e-19
1700,2.3379012172317673e-19
1710,1.7865758588623215e-19
1720,1.1907580570487842e-19
1730,1.5201847029445597e-19
1740,1.114597305310942e-19
1750,1.1941098730458678e-19
1760,8.189536552017501e-20
1770,1.8703066504203005e-19
1780,1.0463744582154809e-19
1790,1.1034782613216492e-19
1800,1.1150406775820493e-19
1810,6.656563578298584e-20
1820,5.3905291321098955e-20
1830,1.3114226981929393e-19
1840,1.189969674379192e-19
1850,9.716940763368897e-20
1860,6.558479470481947e-20
1870,7.096276969327411e-20
1880,7.405567274151757e-20
1890,7.197426096867276e-20
1900,3.99599096181962e-20
1910,5.346206525315973e-20
1920,6.047416174672852e-20
1930,4.340234915131912e-20
1940,4.9736467864221136e-20
1950,5.0496987633168945e-20
1960,4.138285412117577e-20
1970,5.457410330648265e-20
1980,3.728389428707106e-20
1990,3.994343867945779e-20
2000,3.2602944977806116e-20
2010,2.744581838748195e-20
2020,3.387697057176754e-20
2030,3.362892504677988e-20
2040,1.2904737682487753e-20
2050,2.7313907301959376e-20
2060,3.31789703392546e-20
2070,1.7503323646243412e-20
2080,3.499638400945363e-20
2090,1.5311045578759067e-20
2100,2.4983305991529845e-20
2110,2.3552808910667743e-20
2120,1.1077946374382828e-20
2130,2.228363554846206e-20
2140,1.4536997583655057e-20
2150,1.6581656838079702e-20
2160,1.474118523442955e-20
2170,1.8001479191665082e-20
2180,1.4597345238537447e-20
2190,1.250283885268456e-20
2200,1.7055503986195994e-20
2210,8.40508523334389e-21
2220,1.1829148813071048e-20
2230,1.661395598179186e-20
2240,1.0046469244267592e-20
2250,1.1028102537755192e-20
2260,1.189869172148852e-20
2270,9.52317794912154e-21
2280,1.3042235502430946e-20
2290,9.782226399768981e-21
2300,1.4660820346915027e-20
2310,1.1895638731367732e-20
2320,7.714927205878732e-21
2330,5.35772917180267e-21
2340,8.07853551308878e-21
2350,8.131506291042051e-21
2360,6.874200278955284e-21
2370,4.157431979198316e-21
2380,5.7407481063231945e-21
2390,7.707394838833122e-21
2400,5.317937157789107e-21
2410,7.152254428100965e-21
2420,4.7851004302801264e-21
2430,4.265919398504649e-21
2440,7.104646165725431e-21
2450,3.834102387788637e-21
2460,3.2417263157468276e-21
2470,3.691780072270551e-21
2480,2.695011989863667e-21
2490,4.414273871236423e-21
2500,5.009629330436408e-21
2510,2.8585050773694166e-21
2520,5.9590686180530274e-21
2530,6.5798532257742426e-21
2540,2.5605227456415847e-21
2550,4.728538647220562e-21
2560,4.719463303895593e-21
2570,5.099262088813294e-21
2580,5.0692479517582014e-21
2590,4.792709313719987e-21
2600,4.2571342570392416e-21
2610,5.305404720157759e-21
2620,5.463649235585822e-21
2630,4.837258338045039e-21
2640,5.458661574641508e-21
2650,2.297203094456834e-21
2660,4.031880403205584e-21
2670,4.753081597332901e-21
2680,3.541235378632657e-21
2690,2.9420710926759466e-21
2700,4.111792382671752e-21
2710,3.0537660922317195e-21
2720,4.3928966440128375e-21
2730,2.9245148758429737e-21
2740,3.399754495792101e-21
2750,3.3734993614719582e-21
2760,3.01480241283362e-21
2770,4.045042425425464e-21
2780,4.1972444149474126e-21
2790,3.3072920559485978e-21
2800,3.548000411011978e-21
2810,3.0690868454578644e-21
2820,3.0755745597881725e-21
2830,3.686453337849719e-21
2840,4.018070507702767e-21
2850,3.8523645689126235e-21
2860,2.4561412623964437e-21
2870,2.328603648967295e-21
2880,3.2081570181582232e-21
2890,1.813935893978101e-21
2900,3.511413147668829e-21
2910,3.1939123921833643e-21
2920,1.9553310961476895e-21
2930,1.702702656885497e-21
2940,3.6669045366254466e-21
2950,3.1105998626997465e-21
2960,2.5186260549242355e-21
2970,2.0083399225411278e-21
2980,2.1912512710801943e-21
2990,2.6683977138486827e-21
3000,2.1498445318403137e-21
