iteration,fx
0,65775.16715294095
10,259.03902662801323
20,300.4537722085971
30,474.01224614567406
40,541.6052675641091
50,306.8010123194847
60,270.093011846433
70,248.89046626742484
80,170.70311827468902
90,158.50570560078577
100,77.78829813280161
110,47.27344239065202
120,17.934505504069524
130,16.5072997784725
140,4.687210384096874
150,2.148956577552052
160,1.09603509736279
170,0.5227076738114017
180,0.15918512293787895
190,0.09632048342335003
200,0.020593457059813147
210,0.009226236377441863
220,0.009775682430973796
230,0.0023158785405915164
240,0.0005716200555510292
250,0.0001535515275664353
260,8.192602465232407e-05
270,9.359601517553494e-06
280,3.98121272846567e-06
290,2.505786586739107e-06
300,1.2881107211907502e-06
310,2.408816815687348e-07
320,9.200545134624579e-08
330,2.4828106728572835e-08
340,3.717804579530475e-08
350,3.5642842185594114e-09
360,2.347255670335241e-09
370,6.882930173583145e-10
380,4.578592326323237e-10
390,1.8863300109394514e-10
400,7.529823673866858e-11
410,1.5654573944050026e-11
420,6.4367529928589834e-12
430,1.3790654315799165e-12
440,1.2001249581442315e-12
450,3.0439256521649217e-13
460,1.117805364253946e-13
470,1.122613929628521e-13
480,2.9276732391029614e-14
490,1.146804645336618e-14
500,2.6905713910922047e-15
510,1.4993536691556289e-15
520,2.310623680705774e-15
530,3.126265291778109e-16
540,1.3977484801611818e-16
550,6.102162218723438e-17
560,1.6175526701088902e-17
570,1.1283740040758938e-17
580,2.541754645654846e-18
590,2.255665175586407e-18
600,1.2137462675220749e-18
610,4.2631402174020194e-19
620,4.1372166398691114e-19
630,8.218661454914414e-20
640,5.432497416925898e-20
650,3.6193642386770017e-20
660,4.595346327858296e-20
670,1.1762641044619349e-20
680,4.4099198892398374e-20
690,1.05278135002376e-20
700,1.9005387389251525e-20
710,2.1480642240884154e-20
720,1.6962614120332113e-20
730,6.268558461282757e-21
740,1.2977727787848676e-20
750,8.539816593743309e-21
760,1.1234760895005813e-20
770,7.686953115646809e-21
780,1.1101086034832025e-20
790,5.632507433020021e-21
800,3.884403015816519e-21
810,5.665855278207385e-21
820,3.241196436624749e-21
830,4.64798868825695e-21
840,4.874066393634641e-21
850,4.196694850335303e-21
860,3.02265970884382e-21
870,3.570224318735159e-21
880,2.3536074298392885e-21
890,1.2406867802831212e-21
900,5.740484577443388e-22
910,1.7841239308497545e-21
920,1.4912551191300941e-21
930,1.901106476586289e-21
940,2.6683619740789802e-21
950,1.9015217911148677e-21
960,2.6660335165183464e-21
970,2.1228983573782528e-21
980,1.001348484896766e-21
990,1.6860844606908148e-21
1000,1.7377402071288178e-21
1010,9.919253775339458e-22
1020,9.51602421250326e-22
1030,6.221623539513173e-22
1040,1.2133362857219988e-21
1050,1.247365973531741e-21
1060,1.2804877521605745e-21
1070,1.487244237909308e-21
1080,1.9636509975131017e-21
1090,6.766923389212957e-22
1100,6.177224527150953e-22
1110,1.3623779002147427e-21
1120,9.671684052466822e-22
1130,1.0558345392791546e-21
1140,1.755859154832705e-21
1150,1.7670778886797652e-21
1160,8.43745981690171e-22
1170,1.2777369776788975e-21
1180,1.404890184744147e-21
1190,1.496831142222272e-21
1200,1.286506428655234e-21
1210,1.008251267102348e-21
1220,6.557298666857881e-22
1230,1.0607980912395377e-21
1240,1.3357222809837855e-21
1250,7.738178977634315e-22
1260,1.3648204626305337e-21
1270,1.3879287209878246e-21
1280,1.9929969740276058e-21
1290,4.447345059712252e-21
1300,1.5135923467503916e-21
1310,2.201403654488996e-21
1320,1.5942767895262589e-21
1330,1.7207582841580665e-22
1340,4.361469149911533e-22
1350,1.0209963928761642e-21
1360,8.133175889452553e-22
1370,1.2616913965402927e-21
1380,9.979562388471047e-22
1390,6.828381074983611e-22
1400,1.0756824637926167e-21
1410,1.155959031149009e-21
1420,1.270592589075831e-21
1430,7.687890028675952e-22
1440,9.918664443782205e-22
1450,1.2869521257061689e-21
1460,2.1112300742287154e-21
1470,7.594869139966703e-22
1480,2.4129170698922182e-21
1490,1.5528062680022263e-21
1500,2.5066998012974938e-21
1510,8.649357656829455e-22
1520,1.0567739262241066e-21
1530,2.0951503783726476e-21
1540,1.043300734165553e-21
1550,1.1306288023286624e-21
1560,4.399142176335422e-22
1570,1.1974770065993816e-21
1580,9.135566659461557e-22
1590,5.279891578129429e-22
1600,1.5755734928718304e-21
1610,1.0711837589666889e-21
1620,1.4569085874725643e-21
1630,1.0356876705417198e-21
1640,1.7636847979744297e-21
1650,2.0889790273243096e-21
1660,8.638180127120608e-22
1670,2.532750796072304e-21
1680,1.7683024647552295e-21
1690,1.3181111847696355e-21
1700,1.2134836404039878e-21
1710,6.821754506125097e-22
1720,7.239873566105418e-22
1730,1.532575766040551e-21
1740,1.4004444014363922e-21
1750,1.396458054656849e-21
1760,1.1534384252958215e-21
1770,2.7396372754213943e-21
1780,2.169504762700822e-21
1790,1.5818241505719657e-21
1800,8.893574024686753e-22
1810,1.314097980448525e-21
1820,1.769797097626219e-21
1830,1.569007793146576e-21
1840,5.428883055806919e-22
1850,1.511948318572064e-21
1860,3.370613672440193e-22
1870,1.7616940379523694e-21
1880,2.1882233578372413e-21
1890,1.209276201026319e-21
1900,6.545680591152341e-22
1910,1.9031632187654793e-21
1920,9.758189137997393e-22
1930,2.098981321642743e-21
1940,1.7404752947792608e-21
1950,2.8394128235605588e-21
1960,1.5080144920075244e-21
1970,2.2046654506498402e-21
1980,4.241133839243081e-22
1990,1.748308572194235e-21
2000,1.2729291630654316e-21
2010,1.4164084827351313e-21
2020,1.6933144182179769e-21
2030,6.279622670490104e-22
2040,9.720230673281683e-22
2050,8.640764364010489e-22
2060,1.53372136130339e-21
2070,1.6205644324281942e-21
2080,1.6082632942858438e-21
2090,7.669045181360312e-22
2100,1.875463011870135e-21
2110,1.0892515397608556e-21
2120,8.804795322190035e-22
2130,1.0215562698600393e-21
2140,8.75398286907318e-22
2150,7.008565989944208e-22
2160,4.0236306590664895e-21
2170,2.23139568267973e-21
2180,1.6631848117292853e-21
2190,2.0044789686697993e-21
2200,2.7429917070061113e-21
2210,1.3158369042600786e-21
2220,1.3662476275604063e-21
2230,1.6644216705231265e-21
2240,1.6402684445662986e-21
2250,1.543029191454364e-21
2260,1.6876929619973861e-21
2270,6.785704457948075e-22
2280,1.734096662356666e-21
2290,1.4004183407680884e-21
2300,1.1692795754084132e-21
2310,8.705200860337312e-22
