iteration,fx
0,331488.8072293683
10,578.9691406745164
20,2348.8514421800737
30,1095.351757480976
40,1474.919245999817
50,8732.117751838276
60,3547.8713543794493
70,6999.3172350435725
80,3624.0594236604147
90,10403.865340136017
100,26103.470134376148
110,10191.468815670636
120,18717.462417375165
130,3191.0047490184993
140,7033.949985608806
150,6567.909093646631
160,5722.367037994265
170,2561.5338619840445
180,383.11917374499575
190,806.5683575261045
200,212.55533312403605
210,127.41808136016223
220,47.49019254622623
230,36.816419908773156
240,14.019179773980152
250,4.102402871313729
260,1.3183789357791198
270,0.7272507306217472
280,0.26722273113847544
290,0.2187380230940022
300,0.07023953124023519
310,0.037678019752863307
320,0.018773980708132475
330,0.003594501061363747
340,0.0015520585481181067
350,0.0021953157109820772
360,0.0013644263695479681
370,0.000256531069823533
380,0.00016773816715794836
390,6.392193176038186e-05
400,1.485289280675388e-05
410,1.1374020865504135e-05
420,4.834355270821369e-06
430,1.8515713004495103e-06
440,6.39749691752463e-07
450,5.472275645421228e-07
460,3.3756011680481334e-07
470,5.845068506955742e-08
480,4.795743313775204e-08
490,1.1449903062805849e-08
500,4.878311117623004e-09
510,2.1309425797410937e-09
520,1.125755090186795e-09
530,2.5966857162197554e-10
540,1.2529427274921002e-10
550,4.6129675890728524e-11
560,3.736777645376507e-11
570,1.5593926154503612e-11
580,6.474137074623748e-12
590,2.7566911177347914e-12
600,1.4421734572676108e-12
610,5.246966532765515e-13
620,3.556419251116572e-13
630,1.953037520677315e-13
640,7.823227853795348e-14
650,2.395972376260643e-14
660,8.501312764002056e-15
670,5.051319436023277e-15
680,1.2672761179407284e-15
690,6.580420267935725e-16
700,2.285352646704183e-16
710,5.4534934067801664e-17
720,2.446138709105175e-17
730,5.356482100434874e-18
740,2.7630742131568467e-18
750,1.1815529333346173e-18
760,3.5005541421905686e-19
770,8.613060257518241e-20
780,8.238507221504997e-20
790,2.2335331813764563e-20
800,9.229063102554019e-21
810,1.959118856125966e-20
820,4.237495123068416e-21
830,1.33910742270538e-20
840,4.93692411173131e-21
850,4.775870039477663e-21
860,5.311451618434727e-21
870,2.7909726979032782e-21
880,3.566112200250185e-21
890,6.6736292957817996e-21
900,4.5338477695448085e-21
910,3.055585129499333e-21
920,5.517873355494645e-21
930,3.8381829790299784e-21
940,2.8683132384444118e-21
950,3.2409124782500103e-21
960,1.504008864655117e-21
970,1.7864326358235208e-21
980,3.0089579034530033e-21
990,8.621196489955663e-22
1000,1.8354955898722073e-21
1010,2.7055848455900434e-21
1020,1.6332025429142356e-21
1030,1.1817000467367789e-21
1040,2.96547125567633e-21
1050,3.9779269169941595e-21
1060,3.262872350473992e-21
1070,1.8432182385765188e-21
1080,1.3802043719536335e-21
1090,1.4404691020574839e-21
1100,4.950175474717676e-22
1110,2.22851016281428e-21
1120,1.578095680307142e-21
1130,2.8662068657687226e-21
1140,4.152583801370281e-21
1150,3.3067414958018294e-21
1160,1.9840317320408498e-21
1170,2.154655466974175e-21
1180,2.7855822102633486e-21
1190,1.7434949852056386e-21
1200,1.1794745147673065e-21
1210,1.2121013034335748e-21
1220,7.526484620963053e-22
1230,1.5539957057531267e-21
1240,7.5328283530848895e-22
1250,1.7170954043236947e-21
1260,2.1284442073302138e-21
1270,7.6412900552873e-22
1280,1.8280039128427977e-21
1290,1.3568857533737317e-21
1300,2.6149571784687127e-21
1310,1.0390138509565487e-21
1320,2.238303269960279e-21
1330,1.6901579153532342e-21
1340,9.796338719712985e-22
1350,1.5115305880637425e-21
1360,1.7528259937321182e-21
1370,2.311907351244947e-21
1380,2.107600469495917e-21
1390,1.0911946994426733e-21
1400,2.0261034002382242e-21
1410,2.4175638874116165e-21
1420,1.2281999646924925e-21
1430,1.3479639652228147e-21
1440,2.0408440519909153e-21
1450,1.0215747737846253e-21
1460,1.5076111914652165e-21
1470,2.0335120977878893e-21
1480,1.6541539519598734e-21
1490,8.230083435318046e-22
1500,5.264955978071098e-22
1510,1.1630823996053863e-21
1520,1.222834482892488e-21
1530,1.0051775591035913e-21
1540,3.309830891148855e-21
1550,1.8012600618479766e-21
1560,9.210072380201404e-22
1570,9.417330180380066e-22
1580,6.50460845329296e-22
1590,1.6890665725995147e-21
1600,1.502647197463939e-21
1610,1.8464692675576465e-21
1620,8.00422745275206e-22
1630,1.5481838513328986e-21
1640,1.249073224976289e-21
1650,1.5527719481900076e-21
1660,3.0738724302424734e-21
1670,4.250634747808466e-21
1680,2.1053510089184373e-21
1690,2.226188210286818e-21
1700,1.133637011573413e-21
1710,9.157176194855605e-22
1720,1.7325411513460345e-21
1730,9.425389769201885e-22
1740,1.6521571595474267e-21
1750,1.1809533062580852e-21
1760,6.119954280175115e-22
1770,7.884341640890593e-22
1780,1.8627769362808145e-21
1790,9.439256236752148e-22
1800,1.0420071414780217e-21
1810,2.213981272968932e-21
1820,1.341669441158836e-21
1830,2.4455429760673266e-21
1840,1.75921874001584e-21
1850,1.6131686175568025e-21
1860,2.2145144287661617e-21
1870,9.51718317528735e-22
1880,9.59038738267007e-22
1890,2.3996741934073523e-21
1900,1.5268802953547816e-21
1910,2.1689024569057173e-21
1920,2.1174266735273584e-21
1930,1.787162186698528e-21
1940,9.150842708619698e-22
1950,1.7704201372155483e-21
1960,9.879167332840695e-22
1970,6.330588699699954e-22
1980,2.4781764648535242e-21
1990,7.4441095336400775e-22
2000,5.509471845526864e-22
2010,7.339842543100891e-22
2020,2.4743256060341443e-21
2030,1.0457315241554569e-21
2040,1.68780059236146e-21
2050,1.5264552510315063e-21
2060,1.5471411606600263e-21
2070,2.0123103398865103e-21
2080,1.587062203084624e-21
2090,8.430603279116005e-22
2100,7.760246832406007e-22
2110,1.7445969519684967e-21
2120,1.5813849124447722e-21
2130,1.2983481665018074e-21
2140,1.2809815985945462e-21
