iteration,fx
0,24688.600911761227
10,125003.44531568902
20,2821190917066688.5
30,3.736609946809894e+17
40,2.062215888547327e+16
50,9.207452079033215e+20
60,9.243788737035665e+27
70,1.5286962091651725e+29
80,2.1553947202990797e+33
90,7.465402996894385e+32
100,3.386165085772662e+28
110,1.0134808012773713e+31
120,2.8281814064968816e+29
130,2.5441455067249733e+33
140,2.866561700630693e+31
150,4.1967149360045597e+30
160,4.17332612853698e+27
170,5.78310906754111e+31
180,1.1820868541253151e+27
190,1.9140311388710045e+29
200,1.97692168017913e+32
210,4.546185555145805e+31
220,7.809350642879365e+29
230,1.1732600969414466e+30
240,1.9107661547105387e+30
250,5.89541945860768e+26
260,4.3366208894893536e+28
270,8.434029129433924e+28
280,3.5263759067270303e+30
290,5.835520118694703e+28
300,1.3241408385929533e+25
310,9.185030988395547e+27
320,1.408514185533883e+30
330,1.5262025200292194e+29
340,1.949234161671287e+28
350,2.448583792991947e+26
360,1.04304975750588e+30
370,1.713884984951141e+25
380,1.2644952089098697e+27
390,5.852836031381372e+27
400,1.2415075372816394e+29
410,4.8071062505338405e+27
420,2.162046014478334e+27
430,8.041817152346438e+27
440,3.8153007442624416e+24
450,1.1066627619234133e+25
460,4.981066547037288e+25
470,2.782902116301204e+26
480,3.185495498377855e+22
490,1.078310550455745e+26
500,3.977829258243444e+24
510,9.442468852194564e+26
520,5.283597613061721e+22
530,1.2180614964277391e+26
540,1.1059538647092016e+24
550,7.221141285201617e+25
560,5.47388512152702e+23
570,4.7828323101546747e+24
580,1.4985567132005995e+22
590,1.6591113351947233e+26
600,4.4493719545012604e+21
610,9.877749355735689e+23
620,6.459197234912942e+21
630,6.500239242951805e+22
640,3.5584272685108803e+22
650,1.082094972886977e+24
660,2.971948769469029e+23
670,1.0954943465053876e+23
680,1.2437596928722642e+22
690,8.523268100770315e+23
700,5.1523509511359975e+22
710,2.2723210137245166e+23
720,1.8720986447943056e+22
730,1.7546729628319112e+22
740,1.8292969073096188e+23
750,1.911671769363313e+22
760,8.196129837471502e+21
770,1.305642273615208e+23
780,2.12573749256666e+22
790,2.5614353189788914e+22
800,1.1643731330326826e+22
810,2.918068067431641e+22
820,3.272968258578825e+22
830,1.7816652677802761e+22
840,1.1927302420841173e+23
850,1.8024350416392166e+22
860,7.662676964513472e+21
870,2.3308743896104706e+22
880,2.9792826161856606e+22
890,1.3349710320296188e+22
900,8.051521654388347e+21
910,1.8335934181886615e+22
920,5.178614838444684e+21
930,6.769401136420775e+22
940,1.1427354462896646e+23
950,1.7150691420971058e+22
960,3.686342187817501e+22
970,1.4916959001838057e+22
980,3.965990829097021e+22
990,1.3064349329958407e+22
1000,7.657174716234469e+21
1010,1.3526798038062791e+23
1020,7.185749725436567e+22
1030,1.5349271107855687e+22
1040,2.233674656445835e+22
1050,1.81068889100815e+22
1060,1.282091420376985e+22
1070,2.9891348775310492e+22
1080,1.869038428311341e+22
1090,4.849347936122966e+22
1100,2.251585471927974e+22
1110,1.075491431934226e+22
1120,5.021121844392236e+22
1130,1.460616178820066e+22
1140,2.3261084875088296e+22
1150,3.4826564885790377e+22
1160,1.0525990538878183e+22
1170,1.125439821293839e+22
1180,2.4539703487086656e+22
1190,2.0301807922516494e+22
1200,1.4680123801987392e+22
1210,1.7990806392020564e+22
1220,5.693187719317379e+22
1230,1.8137645250230652e+22
1240,1.6934674085183116e+23
1250,4.437391149785354e+22
1260,6.718198909018623e+22
1270,5.6456859890048125e+22
1280,5.674645631234501e+22
1290,1.9215774179922246e+23
1300,1.2536162430556798e+23
1310,7.657515955557451e+22
1320,5.04791603580329e+22
1330,1.1116548470993103e+23
1340,1.3455058041514229e+23
1350,1.042079812549052e+23
1360,5.7997453835587065e+22
1370,5.223319949898764e+22
1380,4.497951611801669e+22
1390,2.844453117833977e+22
1400,2.8449702491817154e+22
1410,5.7772303169777e+22
1420,6.3935191771011235e+22
1430,4.406013529820299e+22
1440,7.3403902907617615e+22
1450,9.069251947204977e+22
1460,5.448706155234019e+22
1470,6.9379920789783055e+22
1480,9.718574965113768e+22
1490,1.3141682683247393e+23
1500,1.5504323760861133e+22
1510,2.9597947373669363e+22
1520,8.215968106836069e+22
1530,3.1370976578108937e+22
1540,4.141582694082643e+22
1550,7.957642496211364e+22
1560,8.23095409323808e+22
1570,7.673336507541092e+22
1580,9.678379630613057e+22
1590,6.098539594989286e+22
1600,1.560969185286377e+23
1610,7.148536980313733e+22
1620,5.772727576181007e+22
1630,8.886728647423059e+22
1640,1.2847576709863736e+23
1650,4.553797584622337e+22
1660,2.9884252789683473e+22
1670,3.0362838799631597e+22
1680,3.5054716806218903e+22
1690,1.4624013738122295e+23
1700,2.99614322873061e+22
1710,8.940480239596479e+22
1720,1.2469692016654649e+23
1730,9.304425366447104e+22
1740,1.4295425504727558e+23
1750,4.1773167645210797e+23
1760,3.4772554513849545e+23
1770,2.7434298849542064e+23
1780,4.660570305442716e+23
1790,3.013814190354833e+23
1800,1.1888939912580193e+23
1810,1.5647105646211268e+23
1820,1.633260724797085e+23
1830,6.381986244192633e+22
1840,6.6994430626850075e+22
1850,1.2951867489773622e+23
1860,5.126039390812562e+22
1870,1.121821744095416e+23
1880,9.770377198371162e+22
1890,6.423135759595101e+22
1900,5.7954838509485696e+23
1910,1.6673981283707398e+23
1920,1.3911998925042577e+23
1930,2.5274803122619463e+23
1940,1.3445426743696292e+23
1950,8.38264514445896e+22
1960,8.616316728274181e+22
1970,1.653553920497314e+23
1980,8.349101043113668e+22
1990,1.178085461132976e+23
2000,1.3627127955259764e+23
2010,6.761799020556092e+22
2020,1.3493116741472317e+23
2030,1.3095178687288699e+23
2040,5.883337835315449e+22
2050,2.6331918533380943e+23
2060,1.7536166799834286e+23
2070,1.2375071814274887e+23
2080,1.9593004197705817e+23
2090,1.1573437076692157e+23
2100,2.0108435911576254e+23
2110,1.1942512196948263e+23
2120,1.809465253560069e+23
2130,8.909496300110815e+22
2140,5.206570820967641e+22
2150,1.2726459015277732e+23
2160,7.376549432836128e+22
2170,2.1300168532312603e+23
2180,2.812967856373073e+23
2190,2.0837177530643154e+23
2200,1.966525128022482e+23
2210,1.4027180239605633e+23
2220,2.033940570877295e+23
2230,3.0269429832522383e+23
2240,2.9265803312392656e+23
2250,1.5087688257406033e+23
2260,1.3002897919261693e+23
2270,1.7431776324928887e+23
2280,2.032034349789173e+23
2290,2.701568762970669e+23
2300,3.163989046268576e+23
2310,3.1803747740487955e+23
2320,3.172142303171932e+23
2330,2.9117445536623047e+23
2340,2.4416499068945053e+23
2350,3.677784740303266e+23
2360,2.1538398144852535e+23
2370,3.221746568040666e+23
2380,2.2712501449644972e+23
2390,2.8584188790495952e+23
2400,1.5146593009810742e+23
2410,1.4645575023886565e+23
2420,3.79614667253635e+23
2430,3.306226238744877e+23
2440,2.0798861533426153e+23
2450,1.9720286855925512e+23
2460,1.4181881514888501e+23
2470,3.395120822626497e+23
2480,1.8926182972932894e+23
2490,2.0967871482718746e+23
2500,2.312324226710724e+23
2510,1.9843553588798916e+23
2520,7.223633217187661e+22
2530,1.6536459651988144e+23
2540,1.0989671597540109e+23
2550,9.167856531725981e+22
2560,6.99364689550964e+22
2570,7.4250194405492345e+22
2580,1.0355765412038424e+23
2590,5.674292463484062e+22
2600,9.237990336435044e+22
2610,1.0292111341551337e+23
2620,1.7957320183799878e+23
2630,1.606357176746208e+23
2640,2.849161305635838e+23
2650,1.0794628937467475e+23
2660,2.271245417011515e+23
2670,7.751763036774353e+22
2680,6.424892607737818e+22
2690,9.494621640415651e+22
2700,8.58065110046773e+22
2710,7.673465899506142e+22
2720,1.1742526367732688e+23
2730,2.313017206083211e+23
2740,3.543032720684499e+23
2750,8.980458542238669e+22
2760,2.292669269100594e+23
2770,1.6697149659899227e+23
2780,1.0934557729282895e+23
2790,5.603764571997983e+22
2800,5.294439186119863e+23
2810,8.466814310029761e+22
2820,6.1521178632475044e+22
2830,6.173610058536011e+22
2840,1.143210923773784e+23
2850,1.365038168524672e+23
2860,1.3450080521278952e+23
2870,1.0940930444972068e+23
2880,1.5474793130462866e+23
2890,8.093575369735146e+22
2900,1.4526338956025201e+23
2910,2.906017336147616e+23
2920,3.565104884002172e+23
2930,3.10660093381658e+23
2940,1.641948204475408e+23
2950,1.3738932134684378e+23
2960,2.2988115364451915e+23
2970,2.5029057805110622e+23
2980,1.7693323680381154e+23
2990,1.7217482192506817e+23
3000,1.936539752573644e+23
