iteration,fx
0,2866.785068275014
10,813.6906161969627
20,715.438509173329
30,490.0834514743683
40,123.66625522855759
50,113.92311904555892
60,8.234537264174778
70,1.7403212614308565
80,1.1793018243940339
90,0.10515332209164775
100,0.018483918835334377
110,0.0030447954983726763
120,0.0002879117918624279
130,0.00016698138589707037
140,1.2384682048584627e-05
150,5.330975954207996e-06
160,1.0151780621700589e-06
170,1.549137796031476e-07
180,3.0874011840300394e-08
190,6.048074500801354e-09
200,1.1072211916049723e-09
210,1.2494572992149208e-10
220,1.385414062155988e-11
230,5.920592300806016e-12
240,3.2881787962143116e-13
250,1.7713612983204138e-13
260,2.5943446829762093e-14
270,1.0311013338834109e-15
280,1.2457393576356856e-15
290,8.349762879709846e-17
300,1.6459188077602243e-17
310,5.500004280306563e-18
320,1.1981244377139975e-18
330,4.309909016714752e-19
340,2.823787845545821e-20
350,7.541744749278267e-21
360,3.221721477648634e-21
370,6.242917615275806e-22
380,1.0011794844626344e-22
390,4.5215374698952946e-23
400,8.199040573326004e-24
410,4.823150031337866e-23
420,1.0845867511174931e-22
430,7.953622244910642e-24
440,1.1046531833938834e-22
450,8.911131643851408e-23
460,6.394446349076533e-23
470,7.456642732226007e-23
480,5.648137139820156e-23
490,6.617755471352275e-23
500,1.8160534688683446e-22
510,4.5940587293007214e-23
520,2.8143821202513734e-23
530,7.606712115796018e-23
540,8.258903273635862e-23
550,1.0043973359668066e-22
560,3.172505835313563e-23
570,7.130029326449938e-23
580,7.456585083600867e-23
590,9.897217797511457e-23
600,1.7848570964736801e-22
610,5.415202993001355e-23
620,4.373803080304089e-23
630,9.229767657119485e-23
640,1.538398755950903e-23
650,4.508722345814149e-23
660,4.6170944758186e-23
670,5.964713873258049e-23
680,8.283381620028747e-23
690,2.9858802384925196e-23
700,1.122210768203963e-22
710,4.163528203508156e-23
720,1.1486285677489848e-22
730,1.7671744200414522e-22
740,9.916475166099592e-23
750,4.506653656595433e-23
760,1.4640503656854678e-22
770,2.9811077896055265e-23
780,8.448700543554265e-23
790,1.6591990295968236e-22
800,8.455121847863578e-23
810,7.558550843041476e-23
820,2.2922786066387412e-23
830,5.067138564075509e-23
840,7.400933760613588e-23
850,4.4372031677109396e-23
860,1.3226777472055691e-22
870,3.235719571980449e-23
880,4.1408984623705506e-23
890,8.388251076900149e-23
900,6.058969496244471e-23
910,1.1587727593062956e-22
920,3.7426227675490864e-23
930,6.889998953431882e-23
940,9.950163803692524e-23
950,1.1066721744849624e-22
960,3.257536867003942e-23
970,1.948362285524426e-23
980,4.7792719654818605e-23
990,1.8391210629543032e-22
1000,6.705542377850944e-23
1010,1.7473202816654717e-23
1020,1.1364716694951435e-22
1030,4.789398272213367e-23
1040,8.625548029705123e-23
1050,1.1477534827220283e-22
1060,8.003042441431421e-23
1070,5.969605398698562e-23
1080,6.655730531757834e-23
1090,1.9490894347622438e-22
1100,6.355111555188761e-23
1110,6.231085690251513e-23
1120,4.83117085794049e-23
1130,6.314174983158063e-23
1140,4.0331241833516334e-23
1150,4.6145091897326363e-23
1160,2.9744978743591535e-23
1170,4.311130298467856e-23
1180,5.533018856304057e-23
1190,9.298218273032192e-23
1200,1.0595130966525884e-22
1210,1.2175643133278958e-22
1220,2.6385220048064965e-23
1230,1.3049405661599056e-22
1240,7.139357852200677e-23
1250,9.635210034314591e-23
1260,9.257405692849426e-23
1270,2.015046283861556e-22
1280,7.956284050950425e-23
1290,1.1950384393153616e-22
1300,9.002256025133392e-23
1310,2.293960221839475e-23
1320,4.4920161899364445e-23
1330,4.1474334147928225e-23
1340,1.1076803933463403e-23
1350,8.344542496715362e-23
1360,8.100181964812348e-23
1370,1.092811736782077e-22
1380,6.774320251896806e-23
1390,1.2915584562580947e-22
1400,8.899946049131623e-23
1410,4.1627408693979053e-23
1420,1.0057588401165865e-22
1430,7.991484284791514e-23
1440,8.523733620797346e-24
1450,8.083617365428581e-23
1460,9.630880535141488e-23
1470,6.340268445098598e-23
1480,3.477558529084849e-23
1490,2.869844061307101e-23
1500,9.287663780678317e-23
1510,2.2220652291832816e-22
1520,4.274670781031916e-23
1530,3.743299042657913e-23
1540,8.413825378503242e-23
1550,1.0516536262470728e-22
1560,6.888975268104192e-23
1570,1.091345196384603e-22
1580,3.420956059962664e-23
1590,1.2945737467988957e-22
1600,1.187667918963387e-22
1610,3.843018972581451e-23
