function,strategy,dim,mean_fx,std_fx
ackley,ArithmeticMeanCenterStrategy,2,3.5854874624874356e-12,1.735537196162266e-12
ackley,ArithmeticMeanCenterStrategy,5,0.08231118166440039,0.3681067949763465
ackley,ArithmeticMeanCenterStrategy,10,0.0577574251522587,0.2582990576126802
ackley,ArithmeticMeanCenterStrategy,20,3.6531933034211764e-11,5.884680279099557e-12
ackley,MedianCenterStrategy,2,0.25799275570902136,0.7940849470361123
ackley,MedianCenterStrategy,5,0.08231118166547188,0.3681067949760951
ackley,MedianCenterStrategy,10,0.0577574251954057,0.25829905760252614
ackley,MedianCenterStrategy,20,3.181021046572141e-09,4.412481798749931e-09
ackley,TrimmedMeanCenterStrategy,2,3.4270364324129332e-12,2.1538078101996887e-12
ackley,TrimmedMeanCenterStrategy,5,8.835865372702755e-12,3.0146362415588913e-12
ackley,TrimmedMeanCenterStrategy,10,1.7850521061291148e-11,4.453167712290081e-12
ackley,TrimmedMeanCenterStrategy,20,3.958264827019775e-11,5.334006678623842e-12
ackley,WeightedFitnessCenterStrategy,2,3.837019590946511e-12,1.634308817336457e-12
ackley,WeightedFitnessCenterStrategy,5,7.674305635418932e-12,2.6524470615081575e-12
ackley,WeightedFitnessCenterStrategy,10,0.05775742515165598,0.2582990576128229
ackley,WeightedFitnessCenterStrategy,20,3.6554315130388204e-11,5.78232834461227e-12
ackley,WeightedRankCenterStrategy,2,2.2803980925800715e-12,1.1985939585789816e-12
ackley,WeightedRankCenterStrategy,5,6.8058447766361495e-12,2.3141053145156366e-12
ackley,WeightedRankCenterStrategy,10,1.4386625224460658e-11,3.21069271271821e-12
ackley,WeightedRankCenterStrategy,20,3.317799368574015e-11,6.596651467782173e-12
booth,ArithmeticMeanCenterStrategy,2,1.0723481097672013e-23,9.871145322170641e-24
booth,MedianCenterStrategy,2,4.666717200256063e-23,6.996643966972189e-23
booth,TrimmedMeanCenterStrategy,2,8.281406483860726e-24,7.78715962440112e-24
booth,WeightedFitnessCenterStrategy,2,1.0662901628860833e-23,1.2706746217718622e-23
booth,WeightedRankCenterStrategy,2,5.316833675451692e-24,4.2210846247907556e-24
ellipsoid,ArithmeticMeanCenterStrategy,2,2.7696855610570676e-24,2.499092909098611e-24
ellipsoid,ArithmeticMeanCenterStrategy,5,7.185714221992043e-23,5.1878368810762814e-23
ellipsoid,ArithmeticMeanCenterStrategy,10,1.072609600266241e-21,5.878399024256825e-22
ellipsoid,ArithmeticMeanCenterStrategy,20,1.766376749215417e-20,6.682676211864812e-21
ellipsoid,MedianCenterStrategy,2,5.0882832827745604e-24,4.389801296126745e-24
ellipsoid,MedianCenterStrategy,5,1.566240796864648e-22,9.316108254219203e-23
ellipsoid,MedianCenterStrategy,10,6.427649582307379e-16,2.765963818338321e-15
ellipsoid,MedianCenterStrategy,20,7.210617471357927e-16,2.5763339904469736e-15
ellipsoid,TrimmedMeanCenterStrategy,2,1.9592483454235712e-24,2.6354983175466646e-24
ellipsoid,TrimmedMeanCenterStrategy,5,8.270591260369913e-23,6.924946782746924e-23
ellipsoid,TrimmedMeanCenterStrategy,10,1.1712801852247944e-21,5.609419919490117e-22
ellipsoid,TrimmedMeanCenterStrategy,20,1.844112388784046e-20,6.1135734056080245e-21
ellipsoid,WeightedFitnessCenterStrategy,2,3.1210240900045254e-24,3.1050389514386648e-24
ellipsoid,WeightedFitnessCenterStrategy,5,8.863606184640872e-23,6.605900217739773e-23
ellipsoid,WeightedFitnessCenterStrategy,10,1.0523203506251595e-21,3.8601999391279534e-22
ellipsoid,WeightedFitnessCenterStrategy,20,1.7647747253953804e-20,4.403375188840946e-21
ellipsoid,WeightedRankCenterStrategy,2,2.278281996906437e-24,2.3714278599783646e-24
ellipsoid,WeightedRankCenterStrategy,5,5.756508673389242e-23,4.1275250434493336e-23
ellipsoid,WeightedRankCenterStrategy,10,8.51890599057497e-22,3.9624296494233325e-22
ellipsoid,WeightedRankCenterStrategy,20,1.3323781174049867e-20,4.206940524540484e-21
griewank,ArithmeticMeanCenterStrategy,2,0.06804356974639067,0.06258054527701314
griewank,ArithmeticMeanCenterStrategy,5,0.028825740804561267,0.024568894772753397
griewank,ArithmeticMeanCenterStrategy,10,0.0046793230482807344,0.008525247083668313
griewank,ArithmeticMeanCenterStrategy,20,0.0008626662470967948,0.0026850817039988394
griewank,MedianCenterStrategy,2,0.36193478210265867,0.5038014029188674
griewank,MedianCenterStrategy,5,0.24164566980179186,0.3998003158197903
griewank,MedianCenterStrategy,10,1.0219961773909083,0.2710906650575037
griewank,MedianCenterStrategy,20,0.3532511328499276,0.45837869514501417
griewank,TrimmedMeanCenterStrategy,2,0.3715322244398394,0.522675974508244
griewank,TrimmedMeanCenterStrategy,5,0.13351125971215252,0.32362581634095255
griewank,TrimmedMeanCenterStrategy,10,0.005662844316214305,0.0074077007527357415
griewank,TrimmedMeanCenterStrategy,20,0.00036980201670575496,0.0016538048951411624
griewank,WeightedFitnessCenterStrategy,2,0.06903447165987256,0.06068672290938058
griewank,WeightedFitnessCenterStrategy,5,0.0300564856199202,0.01986090380605596
griewank,WeightedFitnessCenterStrategy,10,0.003203555989054515,0.005248402264301874
griewank,WeightedFitnessCenterStrategy,20,0.0007396040334115099,0.0022764531821852225
griewank,WeightedRankCenterStrategy,2,0.08456171868864652,0.13715613604620994
griewank,WeightedRankCenterStrategy,5,0.024513882874568856,0.014086446129477759
griewank,WeightedRankCenterStrategy,10,0.006033624815486995,0.008768292677245921
griewank,WeightedRankCenterStrategy,20,0.00049286423039104,0.002204155845664966
michalewicz,ArithmeticMeanCenterStrategy,2,-1.648212527019648,0.3652745941661003
michalewicz,MedianCenterStrategy,2,-1.6700731723580773,0.32667836258775185
michalewicz,TrimmedMeanCenterStrategy,2,-1.626795049802471,0.338244477648778
michalewicz,WeightedFitnessCenterStrategy,2,-0.6662323855514445,0.8596224185053682
michalewicz,WeightedRankCenterStrategy,2,-1.637978469779109,0.3498114672038036
rastrigin,ArithmeticMeanCenterStrategy,2,1.9899160967870437,2.305299358521118
rastrigin,ArithmeticMeanCenterStrategy,5,5.3727728561051595,3.1363760467878476
rastrigin,ArithmeticMeanCenterStrategy,10,15.272602369038093,4.568311493133697
rastrigin,ArithmeticMeanCenterStrategy,20,30.943181527936606,11.476205290828403
rastrigin,MedianCenterStrategy,2,3.9300814676470237,3.4234980366482755
rastrigin,MedianCenterStrategy,5,6.417480122487882,3.0363559140568284
rastrigin,MedianCenterStrategy,10,144.20937695329619,43.645142668222945
rastrigin,MedianCenterStrategy,20,282.4042225974244,45.28388613296805
rastrigin,TrimmedMeanCenterStrategy,2,1.9401689018771482,1.6920442927769277
rastrigin,TrimmedMeanCenterStrategy,5,5.571766183413354,2.8582521405782146
rastrigin,TrimmedMeanCenterStrategy,10,69.68158437306532,53.56939595019403
rastrigin,TrimmedMeanCenterStrategy,20,240.63126422039733,33.705603832228476
rastrigin,WeightedFitnessCenterStrategy,2,1.6914296413857328,1.3733531078759738
rastrigin,WeightedFitnessCenterStrategy,5,4.775800199465396,2.750496921258964
rastrigin,WeightedFitnessCenterStrategy,10,11.541512708265913,5.138608672964788
rastrigin,WeightedFitnessCenterStrategy,20,26.416132970356223,9.285810183083614
rastrigin,WeightedRankCenterStrategy,2,2.1889076563147483,2.1558057306723573
rastrigin,WeightedRankCenterStrategy,5,5.173783318520806,2.7314885276057734
rastrigin,WeightedRankCenterStrategy,10,13.183194653231752,5.293193750181906
rastrigin,WeightedRankCenterStrategy,20,235.7985492631498,44.38929408591355
rosenbrock,ArithmeticMeanCenterStrategy,2,3.240487416109127e-07,1.1610161904152067e-06
rosenbrock,ArithmeticMeanCenterStrategy,5,0.7861678868266058,1.6131824659772578
rosenbrock,ArithmeticMeanCenterStrategy,10,0.39865791123471384,1.227043160442904
rosenbrock,ArithmeticMeanCenterStrategy,20,4.412879989199338e-15,1.2597155957962717e-14
rosenbrock,MedianCenterStrategy,2,0.004124833814953202,0.01722296494976476
rosenbrock,MedianCenterStrategy,5,0.9827098619464062,1.7463212435834972
rosenbrock,MedianCenterStrategy,10,683487154.1611866,2345153791.2801905
rosenbrock,MedianCenterStrategy,20,5.3004970850518104e+16,1.7312867683239888e+17
rosenbrock,TrimmedMeanCenterStrategy,2,1.8968499470828816e-21,6.234848171412506e-21
rosenbrock,TrimmedMeanCenterStrategy,5,0.7861678868266055,1.6131824659772578
rosenbrock,TrimmedMeanCenterStrategy,10,8.579084805723207e-20,4.8107661855732556e-20
rosenbrock,TrimmedMeanCenterStrategy,20,2.9571205276859885e-18,1.1335473398545466e-18
rosenbrock,WeightedFitnessCenterStrategy,2,3.5707235079601334e-15,1.0382435610844525e-14
rosenbrock,WeightedFitnessCenterStrategy,5,0.9827098585332571,1.7463212455949138
rosenbrock,WeightedFitnessCenterStrategy,10,0.19932895561735692,0.8914261892888974
rosenbrock,WeightedFitnessCenterStrategy,20,0.5979935781428269,1.4604898759282983
rosenbrock,WeightedRankCenterStrategy,2,1.3688219488515677e-15,5.5681978948489635e-15
rosenbrock,WeightedRankCenterStrategy,5,0.5896259151199544,1.4400533903696062
rosenbrock,WeightedRankCenterStrategy,10,0.19932895561735692,0.8914261892888974
rosenbrock,WeightedRankCenterStrategy,20,1.3162096802067282e-18,3.3868706322846435e-19
schwefel,ArithmeticMeanCenterStrategy,2,-3213.5350870915718,9938.859302170813
schwefel,ArithmeticMeanCenterStrategy,5,4093075.893578091,18879894.681156095
schwefel,ArithmeticMeanCenterStrategy,10,-74134.51605958119,253466.06956096267
schwefel,ArithmeticMeanCenterStrategy,20,-651197.3336587329,2404359.8417329057
schwefel,MedianCenterStrategy,2,118440510114.79292,1449850721292.4758
schwefel,MedianCenterStrategy,5,-35144855132.134186,94876916370.77748
schwefel,MedianCenterStrategy,10,-1268599221502.2754,1659486168121.315
schwefel,MedianCenterStrategy,20,-2523347804.768738,23055089040.939526
schwefel,TrimmedMeanCenterStrategy,2,2017295954745250.0,7059359705876409.0
schwefel,TrimmedMeanCenterStrategy,5,-64347480570821.69,306305429513290.6
schwefel,TrimmedMeanCenterStrategy,10,-62628353555.35403,188503575613.8568
schwefel,TrimmedMeanCenterStrategy,20,-10000202661.397709,24390468817.08486
schwefel,WeightedFitnessCenterStrategy,2,1.9111220585595822e+38,8.54660760325491e+38
schwefel,WeightedFitnessCenterStrategy,5,8.629605247111495e+58,3.256710501077119e+59
schwefel,WeightedFitnessCenterStrategy,10,-1.8369490148599195e+61,8.901825833034373e+61
schwefel,WeightedFitnessCenterStrategy,20,4.4537238739530894e+57,1.958085783677938e+58
schwefel,WeightedRankCenterStrategy,2,-3386411457.80219,20759918446.50951
schwefel,WeightedRankCenterStrategy,5,-1403327262295.486,6039034498392.608
schwefel,WeightedRankCenterStrategy,10,13127947089.881542,163059349426.7238
schwefel,WeightedRankCenterStrategy,20,-6266666067.8840275,34139357264.553024
sphere,ArithmeticMeanCenterStrategy,2,2.3075085674998656e-24,2.1560084805561196e-24
sphere,ArithmeticMeanCenterStrategy,5,2.5084196976875967e-23,1.645475796642326e-23
sphere,ArithmeticMeanCenterStrategy,10,2.2261150605022063e-22,9.066115714995655e-23
sphere,ArithmeticMeanCenterStrategy,20,1.6244652929369392e-21,6.523677689339285e-22
sphere,MedianCenterStrategy,2,5.812505871445158e-24,7.465860158335872e-24
sphere,MedianCenterStrategy,5,4.5919707337842006e-23,2.761399866700988e-23
sphere,MedianCenterStrategy,10,8.86349981707711e-20,3.854316321792013e-19
sphere,MedianCenterStrategy,20,2.3425986503210906e-16,5.653683843401971e-16
sphere,TrimmedMeanCenterStrategy,2,2.5191527891750106e-24,3.596093914338986e-24
sphere,TrimmedMeanCenterStrategy,5,2.824023879609692e-23,1.9366706249317052e-23
sphere,TrimmedMeanCenterStrategy,10,2.0800297219189211e-22,1.1599101395002403e-22
sphere,TrimmedMeanCenterStrategy,20,2.1738045437439792e-21,6.479275696609718e-22
sphere,WeightedFitnessCenterStrategy,2,2.490131732461961e-24,2.615016437048617e-24
sphere,WeightedFitnessCenterStrategy,5,2.97519895878709e-23,1.77939954718666e-23
sphere,WeightedFitnessCenterStrategy,10,1.9858234134266852e-22,9.119670019055397e-23
sphere,WeightedFitnessCenterStrategy,20,1.6873595283097225e-21,5.584349772283765e-22
sphere,WeightedRankCenterStrategy,2,8.924094007048281e-25,7.691366356291998e-25
sphere,WeightedRankCenterStrategy,5,1.947985182421204e-23,7.474114521622866e-24
sphere,WeightedRankCenterStrategy,10,1.3823368893952051e-22,7.50053160194189e-23
sphere,WeightedRankCenterStrategy,20,1.2427692382407116e-21,4.823033479322036e-22
zakharov,ArithmeticMeanCenterStrategy,2,4.1173013186311316e-24,4.621532670058201e-24
zakharov,ArithmeticMeanCenterStrategy,5,6.12459401235974e-23,3.5327646843851195e-23
zakharov,ArithmeticMeanCenterStrategy,10,1.5524954873776557e-21,7.2158350733131e-22
zakharov,ArithmeticMeanCenterStrategy,20,3.5513222690907893e-20,1.0078436168094863e-20
zakharov,MedianCenterStrategy,2,1.0883862541037116e-23,8.955940623145636e-24
zakharov,MedianCenterStrategy,5,1.4937562317977232e+26,4.608687904792622e+26
zakharov,MedianCenterStrategy,10,4.464150335593505e+41,9.16258182251977e+41
zakharov,MedianCenterStrategy,20,2.5744012320463796e+38,7.94473565821182e+38
zakharov,TrimmedMeanCenterStrategy,2,2.9702104247197098e-24,2.614599192547941e-24
