function,dim,strategy1,strategy2,statistic,p_value,significant
sphere,2,ArithmeticMeanCenterStrategy,MedianCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
sphere,2,ArithmeticMeanCenterStrategy,WeightedFitnessCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
sphere,2,ArithmeticMeanCenterStrategy,WeightedRankCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
sphere,2,ArithmeticMeanCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
sphere,2,MedianCenterStrategy,WeightedFitnessCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
sphere,2,MedianCenterStrategy,WeightedRankCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
sphere,2,MedianCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
sphere,2,WeightedFitnessCenterStrategy,WeightedRankCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
sphere,2,WeightedFitnessCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
sphere,2,WeightedRankCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
sphere,5,ArithmeticMeanCenterStrategy,MedianCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
sphere,5,ArithmeticMeanCenterStrategy,WeightedFitnessCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
sphere,5,ArithmeticMeanCenterStrategy,WeightedRankCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
sphere,5,ArithmeticMeanCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
sphere,5,MedianCenterStrategy,WeightedFitnessCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
sphere,5,MedianCenterStrategy,WeightedRankCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
sphere,5,MedianCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
sphere,5,WeightedFitnessCenterStrategy,WeightedRankCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
sphere,5,WeightedFitnessCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
sphere,5,WeightedRankCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
sphere,10,ArithmeticMeanCenterStrategy,MedianCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
sphere,10,ArithmeticMeanCenterStrategy,WeightedFitnessCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
sphere,10,ArithmeticMeanCenterStrategy,WeightedRankCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
sphere,10,ArithmeticMeanCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
sphere,10,MedianCenterStrategy,WeightedFitnessCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
